Identifier	RA	Dec	SpT	AV (mag)	References	J (mag)	H (mag)	Ks (mag)	[3.6] (mag)	[4.5] (mag)	[5.6] (mag)	[8.0] (mag)	[24] (mag)
GY92 15	16:26:22.98	–24:28:46.1	M6	10.7	8	14.93  ±  0.04	12.80  ±  0.02	11.53  ±  0.02	10.41  ±  0.06	10.00  ±  0.06	9.50  ±  0.07	8.46  ±  0.09	6.11  ±  0.63
GY92 109	16:26:42.89	–24:22:59.1	M6	13.5	8	15.33  ±  0.05	12.82  ±  0.03	11.44  ±  0.02	10.18  ±  0.06	9.63  ±  0.06	9.11  ±  0.06	8.35  ±  0.09	6.74  ±  0.72
GY92 154	16:26:54.79	–24:27:02.1	M6	20.1	8	17.92  ±  0.05	14.91  ±  0.05	12.87  ±  0.05	11.13  ±  0.06	10.51  ±  0.06	10.00  ±  0.06	9.34  ±  0.09	5.85  ±  0.63
WL21	16:26:57.33	–24:35:38.7	M6	23.8	8	19.00  ±  0.05	15.07  ±  0.05	12.82  ±  0.05	11.41  ±  0.10	10.41  ±  0.06	9.96  ±  0.07	9.44  ±  0.09	6.93  ±  0.65
GY92 171	16:26:58.41	–24:21:30.0	M6	6.6	8	16.01  ±  0.07	13.11  ±  0.02	11.46  ±  0.02	10.09  ±  0.06	9.55  ±  0.06	9.11  ±  0.06	8.50  ±  0.09	5.80  ±  0.63
GY92 204	16:27:06.60	–24:41:48.8	M6	0.5	5	12.43  ±  0.02	11.40  ±  0.02	10.77  ±  0.02	9.95  ±  0.05	9.67  ±  0.06	9.32  ±  0.07	8.65  ±  0.09	5.23  ±  0.63
ISO-Oph 160	16:27:37.42	–24:17:54.9	M6	6.0	5	14.15  ±  0.03	12.76  ±  0.03	11.95  ±  0.03	11.00  ±  0.05	10.61  ±  0.06	10.13  ±  0.06	9.35  ±  0.09	6.74  ±  0.63
GY92 344	16:27:45.78	–24:44:53.6	M6	16.2	8	17.74  ±  0.05	14.80  ±  0.05	12.61  ±  0.05	9.70  ±  0.06	8.71  ±  0.06	7.97  ±  0.06	7.27  ±  0.09	3.88  ±  0.63
GY92 350	16:27:46.29	–24:31:41.2	M6	7.0	5	13.83  ±  0.02	12.21  ±  0.02	11.32  ±  0.02	10.51  ±  0.05	10.15  ±  0.06	9.73  ±  0.06	8.84  ±  0.09	6.16  ±  0.63
GY92 371AB	16:27:49.77	–24:25:22.2	M6	5.4	8	12.78  ±  0.02	11.12  ±  0.02	10.16  ±  0.02	9.18  ±  0.06	8.76  ±  0.06	8.39  ±  0.07	7.84  ±  0.09	5.86  ±  0.63
GY92 397	16:27:55.24	–24:28:39.7	M6	5.0	8	13.04  ±  0.02	11.59  ±  0.02	10.79  ±  0.02	9.98  ±  0.05	9.62  ±  0.06	9.17  ±  0.06	8.35  ±  0.09	5.69  ±  0.63
GY92 450	16:28:03.56	–24:34:38.6	M6	20.5	8	19.17  ±  0.05	15.19  ±  0.05	13.11  ±  0.05	11.72  ±  0.05	11.41  ±  0.06	11.12  ±  0.07	11.05  ±  0.09	...
ISO-Oph 193	16:28:12.72	–24:11:35.6	M6	7.5	5	13.61  ±  0.02	12.02  ±  0.02	11.09  ±  0.02	10.18  ±  0.06	9.91  ±  0.06	9.43  ±  0.07	8.63  ±  0.09	5.79  ±  0.63
Brown dwarfs													
CFHTWIR-Oph 107	16:28:48.71	–24:26:31.8	M6.25	2.3	this work	14.31  ±  0.05	13.60  ±  0.05	13.13  ±  0.05	12.55  ±  0.06	12.26  ±  0.06	11.88  ±  0.07	11.29  ±  0.09	9.73  ±  0.68
