mass	Teff	logg	logL	Age
0.020	2542.	3.794	-2.49	6.0
0.030	2706.	3.772	-2.18	6.0
0.040	2794.	3.688	-1.92	6.0
0.050	2844.	3.626	-1.73	6.0
0.055	2865.	3.601	-1.65	6.0
0.060	2887.	3.579	-1.57	6.0
0.070	2920.	3.538	-1.45	6.0
0.072	2925.	3.532	-1.43	6.0
0.075	2932.	3.521	-1.39	6.0
0.080	2943.	3.504	-1.34	6.0
0.090	2972.	3.477	-1.25	6.0
0.100	3002.	3.453	-1.16	6.0
0.110	3023.	3.432	-1.08	6.0
0.130	3072.	3.405	-0.96	6.0
0.150	3120.	3.390	-0.85	6.0
0.175	3163.	3.387	-0.76	6.0
0.200	3193.	3.401	-0.70	6.0
0.250	3242.	3.434	-0.61	6.0
0.300	3281.	3.455	-0.53	6.0
0.350	3318.	3.470	-0.46	6.0
0.400	3357.	3.482	-0.39	6.0
0.450	3388.	3.494	-0.34	6.0
0.500	3427.	3.505	-0.28	6.0
0.570	3485.	3.515	-0.21	6.0
0.600	3507.	3.515	-0.17	6.0
0.620	3525.	3.518	-0.15	6.0
0.700	3593.	3.534	-0.08	6.0
0.750	3632.	3.540	-0.04	6.0
0.800	3670.	3.546	0.00	6.0
0.850	3705.	3.550	0.04	6.0
0.900	3752.	3.607	0.03	6.0
0.950	3776.	3.561	0.11	6.0
1.000	3810.	3.575	0.13	6.0
1.050	3841.	3.570	0.17	6.0
1.100	3871.	3.571	0.21	6.0
1.150	3899.	3.576	0.23	6.0
1.200	3978.	3.583	0.28	6.0
1.300	4098.	3.597	0.35	6.0
1.400	4197.	3.604	0.42	6.0
0.020	2535.	3.821	-2.52	6.1
0.030	2706.	3.774	-2.18	6.1
0.040	2794.	3.691	-1.92	6.1
0.050	2844.	3.631	-1.73	6.1
0.055	2865.	3.608	-1.65	6.1
0.060	2887.	3.587	-1.58	6.1
0.070	2921.	3.550	-1.46	6.1
0.072	2925.	3.541	-1.43	6.1
0.075	2934.	3.533	-1.40	6.1
0.080	2944.	3.517	-1.35	6.1
0.090	2967.	3.492	-1.26	6.1
0.100	2996.	3.473	-1.18	6.1
0.110	3016.	3.456	-1.11	6.1
0.130	3057.	3.442	-1.00	6.1
0.150	3097.	3.451	-0.93	6.1
0.175	3128.	3.479	-0.87	6.1
0.200	3157.	3.498	-0.82	6.1
0.250	3221.	3.523	-0.71	6.1
0.300	3274.	3.534	-0.61	6.1
0.350	3323.	3.545	-0.53	6.1
0.400	3369.	3.552	-0.46	6.1
0.450	3410.	3.560	-0.39	6.1
0.500	3456.	3.571	-0.33	6.1
0.570	3510.	3.577	-0.26	6.1
0.600	3536.	3.582	-0.23	6.1
0.620	3551.	3.581	-0.20	6.1
0.700	3612.	3.592	-0.13	6.1
0.750	3651.	3.602	-0.09	6.1
0.800	3686.	3.608	-0.05	6.1
0.850	3720.	3.612	-0.02	6.1
0.900	3759.	3.642	0.00	6.1
0.950	3786.	3.619	0.06	6.1
1.000	3821.	3.633	0.08	6.1
1.050	3851.	3.627	0.12	6.1
1.100	3882.	3.628	0.15	6.1
1.150	3932.	3.634	0.19	6.1
1.200	4011.	3.645	0.23	6.1
1.300	4113.	3.654	0.30	6.1
1.400	4202.	3.666	0.36	6.1
0.020	2527.	3.847	-2.55	6.2
0.030	2705.	3.778	-2.19	6.2
0.040	2794.	3.697	-1.93	6.2
0.050	2844.	3.640	-1.74	6.2
0.055	2865.	3.617	-1.66	6.2
0.060	2887.	3.597	-1.59	6.2
0.070	2921.	3.564	-1.47	6.2
0.072	2927.	3.557	-1.45	6.2
0.075	2934.	3.550	-1.42	6.2
0.080	2946.	3.537	-1.37	6.2
0.090	2967.	3.517	-1.29	6.2
0.100	2987.	3.506	-1.22	6.2
0.110	3006.	3.501	-1.16	6.2
0.130	3038.	3.519	-1.09	6.2
0.150	3075.	3.551	-1.04	6.2
0.175	3120.	3.571	-0.97	6.2
0.200	3159.	3.587	-0.90	6.2
0.250	3234.	3.602	-0.78	6.2
0.300	3292.	3.609	-0.68	6.2
0.350	3348.	3.619	-0.59	6.2
0.400	3394.	3.627	-0.52	6.2
0.450	3439.	3.630	-0.45	6.2
0.500	3479.	3.636	-0.39	6.2
0.570	3534.	3.644	-0.31	6.2
0.600	3557.	3.644	-0.28	6.2
0.620	3572.	3.647	-0.26	6.2
0.700	3631.	3.659	-0.19	6.2
0.750	3666.	3.665	-0.15	6.2
0.800	3697.	3.666	-0.11	6.2
0.850	3732.	3.670	-0.07	6.2
0.900	3770.	3.695	-0.05	6.2
0.950	3797.	3.681	0.00	6.2
1.000	3832.	3.690	0.03	6.2
1.050	3862.	3.685	0.07	6.2
1.100	3893.	3.691	0.10	6.2
1.150	3966.	3.697	0.14	6.2
1.200	4030.	3.703	0.18	6.2
1.300	4126.	3.717	0.24	6.2
1.400	4206.	3.728	0.30	6.2
0.020	2519.	3.872	-2.58	6.3
0.030	2705.	3.784	-2.19	6.3
0.040	2794.	3.705	-1.93	6.3
0.050	2845.	3.652	-1.75	6.3
0.055	2865.	3.632	-1.68	6.3
0.060	2887.	3.615	-1.61	6.3
0.070	2922.	3.588	-1.50	6.3
0.072	2928.	3.584	-1.48	6.3
0.075	2936.	3.579	-1.45	6.3
0.080	2950.	3.572	-1.41	6.3
0.090	2974.	3.566	-1.33	6.3
0.100	2998.	3.575	-1.28	6.3
0.110	3014.	3.590	-1.25	6.3
0.130	3045.	3.621	-1.19	6.3
0.150	3080.	3.646	-1.13	6.3
0.175	3122.	3.660	-1.05	6.3
0.200	3162.	3.671	-0.99	6.3
0.250	3245.	3.681	-0.85	6.3
0.300	3313.	3.688	-0.75	6.3
0.350	3369.	3.694	-0.66	6.3
0.400	3416.	3.697	-0.58	6.3
0.450	3460.	3.700	-0.51	6.3
0.500	3497.	3.707	-0.45	6.3
0.570	3552.	3.709	-0.37	6.3
0.600	3574.	3.714	-0.34	6.3
0.620	3588.	3.713	-0.32	6.3
0.700	3645.	3.720	-0.24	6.3
0.750	3679.	3.727	-0.20	6.3
0.800	3711.	3.733	-0.17	6.3
0.850	3745.	3.732	-0.12	6.3
0.900	3780.	3.757	-0.11	6.3
0.950	3807.	3.739	-0.05	6.3
1.000	3842.	3.753	-0.03	6.3
1.050	3873.	3.747	0.01	6.3
1.100	3910.	3.753	0.04	6.3
1.150	3998.	3.759	0.09	6.3
1.200	4048.	3.770	0.12	6.3
1.300	4136.	3.784	0.18	6.3
1.400	4211.	3.790	0.24	6.3
0.020	2513.	3.893	-2.61	6.4
0.030	2704.	3.791	-2.20	6.4
0.040	2793.	3.717	-1.95	6.4
0.050	2845.	3.671	-1.77	6.4
0.055	2865.	3.655	-1.70	6.4
0.060	2886.	3.645	-1.64	6.4
0.070	2923.	3.635	-1.54	6.4
0.072	2930.	3.636	-1.53	6.4
0.075	2940.	3.637	-1.50	6.4
0.080	2957.	3.644	-1.47	6.4
0.090	2991.	3.669	-1.43	6.4
0.100	3012.	3.688	-1.39	6.4
0.110	3028.	3.698	-1.35	6.4
0.130	3058.	3.716	-1.28	6.4
0.150	3092.	3.731	-1.21	6.4
0.175	3128.	3.739	-1.13	6.4
0.200	3167.	3.746	-1.06	6.4
0.250	3252.	3.755	-0.92	6.4
0.300	3327.	3.763	-0.81	6.4
0.350	3384.	3.764	-0.72	6.4
