mass	age	Teff	logg	logL
0.02	0.00128	2535.0	3.821	-2.52
0.02	0.00144	2530.0	3.8339999999999996	-2.54
0.02	0.00161	2527.0	3.847	-2.55
0.02	0.0018100000000000002	2523.0	3.86	-2.57
0.02	0.00205	2519.0	3.872	-2.58
0.02	0.00231	2515.0	3.883	-2.6
0.02	0.0025800000000000003	2513.0	3.8930000000000002	-2.61
0.02	0.00286	2511.0	3.9	-2.62
0.02	0.0032700000000000003	2508.0	3.908	-2.62
0.02	0.0035700000000000003	2507.0	3.912	-2.63
0.02	0.0040100000000000005	2506.0	3.917	-2.64
0.02	0.00465	2504.0	3.9219999999999997	-2.64
0.02	0.00507	2503.0	3.925	-2.65
0.02	0.00598	2501.0	3.932	-2.65
0.02	0.006409999999999999	2500.0	3.935	-2.66
0.02	0.007209999999999999	2498.0	3.9410000000000003	-2.67
0.02	0.00795	2496.0	3.947	-2.67
0.02	0.00895	2493.0	3.9560000000000004	-2.68
0.02	0.01012	2489.0	3.968	-2.7
0.02	0.011340000000000001	2484.0	3.9819999999999998	-2.72
0.02	0.012709999999999999	2476.0	4.001	-2.74
0.02	0.014230000000000001	2461.0	4.0280000000000005	-2.78
0.02	0.01586	2438.0	4.065	-2.83
0.02	0.0178	2397.0	4.121	-2.92
0.02	0.02012	2337.0	4.187	-3.03
0.02	0.02244	2279.0	4.237	-3.12
0.02	0.02516	2219.0	4.282	-3.21
0.02	0.028339999999999997	2156.0	4.323	-3.3
0.02	0.032	2090.0	4.36	-3.39
0.02	0.036	2025.0	4.391	-3.48
0.02	0.040119999999999996	1966.0	4.416	-3.56
0.02	0.0449	1905.0	4.44	-3.64
0.02	0.0505	1843.0	4.463	-3.72
0.02	0.057089999999999995	1780.0	4.485	-3.8
0.02	0.06365	1725.0	4.502	-3.87
0.03	0.00108	2706.0	3.772	-2.18
0.03	0.0012699999999999999	2706.0	3.7739999999999996	-2.18
0.03	0.00146	2705.0	3.7760000000000002	-2.19
0.03	0.00165	2705.0	3.778	-2.19
0.03	0.00182	2705.0	3.78	-2.19
0.03	0.00199	2705.0	3.782	-2.19
0.03	0.00216	2705.0	3.784	-2.19
0.03	0.00232	2705.0	3.786	-2.2
0.03	0.00263	2704.0	3.7910000000000004	-2.2
0.03	0.00292	2703.0	3.795	-2.21
0.03	0.0031899999999999997	2703.0	3.799	-2.21
0.03	0.0035600000000000002	2703.0	3.805	-2.22
0.03	0.004	2701.0	3.813	-2.23
0.03	0.00449	2700.0	3.824	-2.24
0.03	0.00505	2698.0	3.838	-2.25
0.03	0.0056700000000000006	2695.0	3.8569999999999998	-2.27
0.03	0.00634	2691.0	3.883	-2.3
0.03	0.007090000000000001	2683.0	3.924	-2.35
0.03	0.00795	2672.0	3.9819999999999998	-2.41
0.03	0.00899	2656.0	4.046	-2.49
0.03	0.01006	2641.0	4.1	-2.55
