Spectral Type,BCJ,SpT
M5.5,2.02,5.5
M6.5,2.05,6.5
M5.5,2.03,5.5
M6.5,2.05,6.5
M7,2.05,7.0
M6.5,2.06,6.5
M8,2.03,8.0
M7,2.03,7.0
M8,1.98,8.0
M7.5,2.14,7.5
M8,1.97,8.0
M9,1.99,9.0
M9.5,1.89,9.5
M8.5,1.95,8.5
M9.5,1.77,9.5
M9,1.95,9.0
M9,1.92,9.0
M8,2.05,8.0
M9,1.99,9.0
L0,1.89,10.0
L2,1.65,12.0
M8.5,2.05,8.5
L1,1.8,11.0
L0.5,2.0,10.5
M9.5,2.03,9.5
L1,2.01,11.0
M9,1.98,9.0
L4.5,1.41,14.5
L3,1.75,13.0
L3.5,1.58,13.5
L3.5,1.86,13.5
L3,1.75,13.0
L5,1.55,15.0
L4,1.61,14.0
L5,1.54,15.0
L4.5,1.31,14.5
L5,1.67,15.0
L5,1.83,15.0
L7,1.74,17.0
L6,1.41,16.0
L8,1.46,18.0
L7.5,1.3,17.5
L8,1.49,18.0
