NAME,EPIC,2MASS,RAh,RAm,RAs,DEd,DEm,DEs,Epoch,Binary,Triple,Refs
AD 0432,,J08220219+1959592,8.0,22.0,2.18,19.0,59.0,59.23,2000.0,photometric,,douglas2014
AD 0487,,J08223394+1903521,8.0,22.0,33.93,19.0,3.0,51.96,2000.0,photometric,,douglas2014
AD 0868,211995609.0,J08263521+2010567,8.0,26.0,35.2,20.0,10.0,56.69,2000.0,photometric,,douglas2014
AD 1180,,J08285400+2034416,8.0,28.0,53.99,20.0,34.0,41.53,2000.0,photometric,,douglas2014
AD 1268,212025207.0,J08294438+2040232,8.0,29.0,44.38,20.0,40.0,23.18,2000.0,photometric,,douglas2014
AD 1296,211889082.0,J08295706+1834001,8.0,29.0,57.06,18.0,34.0,0.08,2000.0,photometric,,douglas2014
AD 1508,212009427.0,J08312987+2024375,8.0,31.0,29.87,20.0,24.0,37.49,2000.0,photometric,,douglas2014
HSHJ 15,211971354.0,J08314045+1947542,8.0,31.0,40.45,19.0,47.0,54.19,2000.0,photometric,,douglas2014
JS 14,211898294.0,J08324972+1842063,8.0,32.0,49.72,18.0,42.0,6.25,2000.0,photometric,,douglas2014
AD 1690,,J08325691+2520585,8.0,32.0,56.9,25.0,20.0,58.43,2000.0,photometric,,douglas2014
HSHJ 34,211951112.0,J08331098+1929222,8.0,33.0,10.97,19.0,29.0,22.15,2000.0,Photometric,,hodgkin1999
JS 35,211941071.0,J08332700+1920288,8.0,33.0,27.0,19.0,20.0,28.77,2000.0,photometric,,douglas2014
JS 48,,J08335925+1921455,8.0,33.0,59.24,19.0,21.0,45.46,2000.0,photometric,,douglas2014
JS 79,,J08350806+1959253,8.0,35.0,8.05,19.0,59.0,25.28,2000.0,Photometric,,hodgkin1999
A 365,,,8.0,35.0,17.76,20.0,33.0,52.3,2000.0,photometric,,douglas2014
JS 88,,J08352805+2011467,8.0,35.0,28.03,20.0,11.0,46.83,2000.0,SB,,mermilliod2009
HD72846,,,8.0,35.0,45.1,19.0,46.0,16.2,2000.0,photometric,,douglas2014
JS 97,211976081.0,J08354678+1952154,8.0,35.0,46.77,19.0,52.0,15.33,2000.0,Photometric,,hodgkin1999
JS102,212034371.0,J08355696+2049347,8.0,35.0,56.95,20.0,49.0,34.74,2000.0,SB1,,bouvier2001;mermilliod2009;douglas2014
KW533,211954532.0,J08361640+1932314,8.0,36.0,16.38,19.0,32.0,31.25,2000.0,SB2,,mermilliod1999;bouvier2001;mermilliod2009;douglas2014
KW534,212005201.0,,8.0,36.0,17.47,20.0,20.0,29.43,2000.0,SB1,,abt1999;patience2002
JS132,211975682.0,J08362713+1951547,8.0,36.0,27.12,19.0,51.0,54.64,2000.0,Photometric,,hodgkin1999;douglas2014
KW535,211998436.0,J08362831+2013430,8.0,36.0,28.3,20.0,13.0,42.95,2000.0,Photometric,,hodgkin1999
KW536,211916015.0,J08362986+1857571,8.0,36.0,29.84,18.0,57.0,57.1,2000.0,SB,,mermilliod1990;bolte1991;mermilliod2009;douglas2014
KW538,211910450.0,J08364800+1852581,8.0,36.0,47.99,18.0,52.0,58.02,2000.0,SB1,,mermilliod1990;bolte1991
KW539,211935509.0,J08364897+1915265,8.0,36.0,48.95,19.0,15.0,26.42,2000.0,SB1,,mermilliod1999;mermilliod2009
JS150,211955417.0,J08364957+1933231,8.0,36.0,49.57,19.0,33.0,22.94,2000.0,Photometric,,hodgkin1999;douglas2014
JS159,211915860.0,J08365626+1857480,8.0,36.0,56.25,18.0,57.0,47.97,2000.0,Photometric,,hodgkin1999;douglas2014
JS157,212003893.0,J08365660+2019101,8.0,36.0,56.59,20.0,19.0,10.06,2000.0,photometric,,douglas2014
JS160,211924546.0,J08365681+1905280,8.0,36.0,56.8,19.0,5.0,28.01,2000.0,Photometric,,hodgkin1999
KW 16,211958646.0,J08370203+1936171,8.0,37.0,2.02,19.0,36.0,17.24,2000.0,SB2,,dickens1968;bolte1991;patience2002;mermilliod1999;mermilliod2009;douglas2014
JS172,211950897.0,J08371636+1929104,8.0,37.0,16.36,19.0,29.0,10.33,2000.0,photometric,,douglas2014
JS178,211946212.0,J08372419+1925012,8.0,37.0,24.18,19.0,25.0,1.17,2000.0,photometric,,douglas2014
KW 31,211955820.0,J08372794+1933452,8.0,37.0,27.93,19.0,33.0,45.04,2000.0,Photometric,,bolte1991;mermilliod1999;douglas2014
JS186,211925371.0,J08373105+1906142,8.0,37.0,31.04,19.0,6.0,14.22,2000.0,visual,,bouvier2001
JS191,211998178.0,J08373505+2013266,8.0,37.0,35.05,20.0,13.0,26.54,2000.0,photometric,,douglas2014
JS190,,J08373576+2059276,8.0,37.0,35.76,20.0,59.0,27.56,2000.0,photometric,,douglas2014
KW 40,,,8.0,37.0,37.03,19.0,43.0,58.19,2000.0,SB1,SB1,dickens1968;abt1999;patience2002;douglas2014
JS194,,J08373822+1828571,8.0,37.0,38.22,18.0,28.0,56.98,2000.0,visual,,bouvier2001
