F	Ap	Alt_Names	X-Ray ID	RA	Dec	Li	EW_Ha	I	R-I	SpT_Lit	Spectral_Type	Adopt	Notes
3	39			16 24 39.3	-24 07 10		1.1	15.31	1.41		K0-K2	K1	
4	40			16 24 39.7	-24 35 08		-9.2	15.87	2.11		M4.5	M4.5	
4	13			16 24 40.5	-24 43 09		<0.3	15.96	1.9		G5-K6	K0:	
3	11			16 24 40.7	-24 21 40		0.90	14.83	1.49		K0-K2	K1	
4	29			16 24 41.1	-24 17 49		> - 0.4	15.15	2.05		M1-M3	M2	
4	99			16 24 43.9	-24 47 53		0.70	14.64	1.61		K3	K3	
4	14			16 24 44.8	-25 00 18		-3.5	15.74	1.64		M2-M4	M2	Poss. dwarf
3	37			16 24 46.9	-24 22 21		0.90	13.61	1.86		K6-M0	K7	
4	72			16 24 46.9	-24 22 02		<0.8	13.7	1.66		K2-K5	K4	
4	2	UCAC3		16 24 47.7	-24 52 58		1.0	13.41	1.17		G2-G5	G5	
4	42			16 24 48.1	-24 40 04		> - 0.4	14.8	2.14		M3.5-M7	M4.5	
4	85			16 24 49.3	-24 28 12		1.0	14.2	1.45		K0-K5	K3:	
4	10			16 24 50.2	-24 35 39		1.3	15.39	1.66		G5-K5	U	
3	4			16 24 51.6	-24 17 21		0.9	14.69	1.62		K1-K3	K2	
3	12			16 24 55.7	-24 09 15		2.0	15.01	1.26		G2-G5	G4	
4	90	UCAC3		16 24 55.8	-24 53 34		1.1				K3-K6	K6	
3	58			16 24 57.3	-24 11 23	Yes	-3.0	13.72	1.91	M3.5 (WMR)	M3-M4	M3.5	
4	59	WSB 18		16 24 59.7	-24 55 59	Yes:	-87	13.78	1.93		M2.5-M4.5	M3.5	
4	82	WSB 19/UCAC3		16 25 02.0	-24 59 30		-40	13.12	1.8		M3-M5.5	M4.5	
3	28			16 25 03.8	-24 22 24		2.5	14.64	1.59		F6-G4	G0	
4	88	UCAC3		16 25 05.0	-24 41 09		0.80	13.47	1.58		K3-K5	K4	
3	42			16 25 05.6	-24 03 11		0.90	15.58	1.71		K6-M0	K7III	Giant
3	14			16 25 07.2	-23 59 48		3.7	16.04	1.11		F2-F5	F3	
3	44			16 25 07.9	-23 58 03		1.2	14.78	1.45		G5-K0	G9	
4	38			16 25 10.9	-24 46 03		-10	15.78	2.2		M4-M6	M5	
4	32			16 25 11.9	-24 37 07		0.80	14.78	1.79		K5-K6	K6	
3	31			16 25 12.3	-23 58 31		0.80	14.71	1.41		K1-K3	K2	
3	17			16 25 16.8	-24 04 41		0.80	15.37	1.5		K3	K3	
3	27			16 25 17.0	-24 11 44		0.80	14.36	2.25		M3-M4.5	M4.5III	Giant
4	52			16 25 18.9	-24 47 59	Yes:	-12	14.98	2.17		M2-M4	M3	Poss. dwarf
