EPIC,Name_IAU,RAdeg,DEdeg,Other,Vmag_x,Ksmag_R16,(V-K)0,Per1,Per2,Per3,Per4,Ampl,LC,memb,Per_lit,vsini,Per_cat,dd,ddm,shch,beat,cpeak,resc,resd,dscu,cloud,Name_adopt,Ksmag_S16,(V-K),Mass,Mbol,Radius,Teff,Delmag,E(B-V),Object_name,Vmag_y,rmag,Icmag,Kmag,T_VI,T_VK,T_rK,T_IK,Period,A_r,R_o,Tspec,RV,EWHa,D_EWHa,TiO2n,D_TiO2n,TiO5n,D_TiO5n,Tquiet,fs1,Tspot1,fs2,Tspot2,multi,Flag,RAJ2000,DEJ2000
210991540.0,033149.84+225024.8,52.95768,22.84023,UGCSJ033149.85+225024.4,,12.75,5.1,0.5749,,,,0.059000000000000004,LC2,best,0.57,,single,no,no,no,no,no,no,no,no,no,UGCSJ033149.85+225024.4,12.74,5.1,0.37,9.62,0.34,3219.0,-0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211016313.0,033207.85+231357.5,53.032740000000004,23.23265,DH017,,12.25,5.05,0.3193,,,,0.055999999999999994,LC1,best,,,single,no,no,no,no,no,no,no,no,no,DH017,12.24,5.05,0.38,9.12,0.42,3234.0,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211029135.0,033237.80+232559.3,53.15753,23.43315,UGCSJ033237.82+232559.0,,13.06,5.76,0.28600000000000003,,,,0.032,LC4,best,,,single,yes,no,no,no,no,no,no,no,no,UGCSJ033237.82+232559.0,13.05,5.76,0.21,9.97,0.33,3029.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211037397.0,033242.30+233400.4,53.17625,23.56679,DH022,,12.54,5.58,0.499,0.3167,,,0.023,LC1,best,,,multi,no,no,no,no,no,yes,no,no,no,DH022,12.53,5.58,0.23,9.44,0.41,3075.0,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210946764.0,033305.82+220803.2,53.274269999999994,22.13423,PELS004,11.36,9.43,1.82,5.766,,,,0.011000000000000001,LC4,best,,,single,no,no,yes,no,no,no,no,no,no,PELS004,9.42,1.82,0.98,5.36,0.87,5355.0,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211002011.0,033313.90+230023.2,53.307930000000006,23.00647,PELS123,11.98,9.67,2.2,7.6495,6.9112,,,0.027999999999999997,LC3,best,7.07,,multi,no,no,no,yes,yes,yes,no,no,no,PELS123,9.66,2.2,0.88,5.84,0.81,4963.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210997742.0,033349.79+225620.0,53.457480000000004,22.93891,DH031,,13.29,5.21,0.3744,,,,0.037000000000000005,LC2,ok,,,single,no,no,no,no,no,no,no,no,no,DH031,13.28,5.21,0.34,10.16,0.27,3184.0,-0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210989751.0,033419.35+224842.4,53.580630000000006,22.8118,DH034,,13.93,6.39,0.713,,,,0.033,LC1,best,,,single,no,no,no,no,no,no,no,no,no,DH034,13.92,6.39,0.14,10.9,0.23,2898.0,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210943453.0,033454.93+220446.6,53.7289,22.079629999999998,DH040,16.17,11.57,4.49,0.8275,,,,0.021,LC2,best,0.83,,single,yes,no,no,no,no,no,no,no,no,DH040,11.56,4.49,0.5,8.39,0.52,3445.0,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211051561.0,033516.25+234758.1,53.81775,23.7995,DH044,,13.19,5.81,0.4725,,,,0.038,LC1,best,,,single,no,no,no,no,no,no,no,no,no,DH044,13.18,5.81,0.2,10.1,0.31,3016.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
