Name,HBC,SpT,JD_min_max,N_seasons,V_range,N_obs,avgB_V,avgV_R,mult,ref,HBC_name,alt_name,pref_name,RA,DEC,SpT_simbad,Otype_simbad
Anon 1    , 366 , M0    , 48953--50760 ,6, 13.58--13.36 ,96,1.84, 1.84 , , \\,HBC 366 ,HBC 366 ,HBC 366 ,04 13 27.227,+28 16 24.78,M0,BYDra
HD 283572 , 380 , G6 IV , 48854--53300 ,13,  9.16--8.89  ,425,0.77, 0.70 , , \\,HBC 380 ,HBC 380 ,HD 283572 ,04 21 58.8485,+28 18 06.512,G5IVe,TTau*
Hubble 4  , 374 , K7    , 49197--49251 ,1, 12.71--12.59 ,27,1.62, , ,   \\,HBC 374 ,HBC 374 ,HBC 374 ,04 18 47.037,+28 20 07.32,K7,Orion_V*
LkCa 1    , 365 , M4    , 49213--50760 ,5, 13.80--13.64 ,88,1.45, 1.71 , , \\,HBC 365 ,HBC 365 ,LkCa 1    ,04 13 14.142,+28 19 10.84,M4,BYDra
LkCa 2    ,     , K7    , 48953--51157 ,7, 12.37--12.19 ,119,1.39, 1.34 , , \\,HBC     ,HBC     ,LkCa 2    ,04 14 30.623,+28 51 29.66,M0,BYDra
LkCa 3    , 368 , M1    , 48858--51157 ,7, 12.17--11.97 ,144,1.48, 1.52 , VB(0.48) , wh01 \\,HBC 368 ,HBC 368 ,LkCa 3    ,04 14 47.973,+27 52 34.65,M1,Orion_V*
LkCa 4    , 370 , K7    , 48858--53289 ,13, 13.19--12.28 ,284,1.42, 1.37 , , \\,HBC 370 ,HBC 370 ,LkCa 4    ,04 16 28.109,+28 07 35.81,K7:Ve,TTau*
LkCa 5    , 371 , M2    , 48953--50081 ,4, 13.63--13.44 ,65,1.47, 1.50 , , \\,HBC 371 ,HBC 371 ,LkCa 5    ,04 17 38.940,+28 33 00.51,M2,TTau*
LkCa 7    , 379 , K7    , 48182--53300 ,15, 12.75--12.11 ,422,1.36, 1.35 , VB(1.02) , wh01 \\,HBC 379 ,HBC 379 ,LkCa 7    ,04 19 41.272,+27 49 48.49,M0,TTau*
LkCa 11   ,     , M2    , 48954--53291 ,13, 13.33--13.10 ,197,1.5, 1.58 , , \\,HBC     ,HBC     ,LkCa 11   ,04 29 01.0114,+18 40 25.329,M2.5V,BYDra
LkCa 14   , 417 , M0    , 48954--50081 ,4, 11.84--11.63 ,63,1.19, 1.05 , , \\,HBC 417 ,HBC 417 ,LkCa 14   ,04 36 19.092,+25 42 58.96,M0:V,BYDra
LkCa 16   , 420 , K7    , 48859--53289 ,4, 12.71--12.32 ,61,1.5, 1.41 , VB(0.29) , wh01 \\,HBC 420 ,HBC 420 ,LkCa 16   ,04 41 04.708,+24 51 06.24,K7Ve,TTau*
LkCa 19   , 426 , K0    , 48181--53300 ,13, 11.08--10.80 ,308,1.01, 1.09 , , \\,HBC 426 ,HBC 426 ,LkCa 19   ,04 55 36.956,+30 17 55.31,K0Ve,TTau*
LkCa 21   , 382 , M3    , 48952--49251 ,2, 13.54--13.34 ,32,1.57, 1.65 , , \\,HBC 382 ,HBC 382 ,LkCa 21   ,04 22 03.138,+28 25 38.99,M3/4Ve,TTau*
SR 9      , 264 , K5    , 46607--52827 ,15, 11.86--11.28 ,336,1.25, 1.21 , VB(0.59) , gh93 \\,HBC 264 ,HBC 264 ,HBC 264 ,16 27 40.286,-24 22 04.03,K5e,TTau*
SR 12     , 263 , M1    , 46964--52819 ,10, 13.53--13.09 ,195,1.57, 1.60 , , \\,HBC 263 ,HBC 263 ,SR 12     ,16 27 19.512,-24 41 40.39,,Planet
TAP 4     , 347 , K1    , 48858--49218 ,2, 12.26--12.01 ,33,0.88, 0.80 , , \\,HBC 347 ,HBC 347 ,TAP 4     ,03 29 38.3682,+24 30 37.873,K1,Orion_V*
TAP 9     , 351 , K5    , 48858--49635 ,3, 12.25--12.08 ,82,1.05, 0.99 , VB(0.61) , le93 \\,HBC 351 ,HBC 351 ,TAP 9     ,03 52 02.238,+24 39 47.75,K3V,TTau*
TAP 10AB ,352+353, G0+G5, 48953--49623 ,3, 11.42--11.29 ,56,0.87, 0.80 , VB(8.6) , he88\\,HBC352+353,TAP 10,TAP 10,03 54 30.166,+32 03 04.47,G5,TTau*
TAP 11AB ,354+355, K3+K0, 48853--49218 ,2, 12.50--12.36 ,31,0.92, 0.83 , , \\,HBC354+355,TAP 11,TAP 11,03 54 34,+25 36.9,,TTau*
TAP 14NE ,356+357, K2   , 48853--49215 ,2, 12.96--12.86 ,28,1.01, 0.89 , , \\,HBC356+357,TAP 14,TAP 14,04 03 13.956,+25 52 59.79,K2,Orion_V*
TAP 26    , 376 , K7    , 48858--50760 ,6, 12.44--12.16 ,165,1.13, 1.01 , , \\,HBC 376 ,HBC 376 ,TAP 26    ,04 18 51.701,+17 23 16.57,K7e,TTau*
TAP 35    , 388 , K1    , 48860--53300 ,8, 10.45--10.16 ,226,0.77, 0.67 , , \\,HBC 388 ,HBC 388 ,TAP 35    ,04 27 10.5703,+17 50 42.651,K1e,TTau*
TAP 40    , 392 , K5    , 48860--50760 ,6, 12.69--12.52 ,137,1.17, 1.05 , , \\,HBC 392 ,HBC 392 ,TAP 40    ,04 31 27.17,+17 06 24.9,K5e,TTau*
TAP 41    , 397 , K7    , 48860--53300 ,13, 12.41--12.01 ,245,1.24, 1.11 , , \\,HBC 397 ,HBC 397 ,TAP 41    ,04 32 09.269,+17 57 22.75,K7e,TTau*
TAP 45    , 403 , K7    , 48860--53291 ,8, 13.36--13.11 ,145,1.45, 1.33 , , \\,HBC 403 ,HBC 403 ,TAP 45    ,04 32 43.732,+18 02 56.33,K7,Orion_V*
TAP 49    , 407 , G8    , 48860--50020 ,4, 12.82--12.58 ,86,1.03, 0.91 , , \\,HBC 407 ,HBC 407 ,TAP 49    ,04 34 18.040,+18 30 06.65,G8,Orion_V*
TAP 50    , 408 , K0 IV , 49199--53311 ,12, 10.34--10.06 ,263,0.89, 0.79 , , \\,HBC 408 ,HBC 408 ,TAP 50    ,04 34 39.2819,+25 01 01.033,G0,RSCVn
TAP 57NW  , 427 , K7    , 48857--53300 ,13, 11.74--11.47 ,276,1.28, 1.16 , SB($P\approx$ 2000 d) , ma89\\,HBC 427 ,HBC 427 ,HBC 427 ,04 56 02.016,+30 21 03.75,K7e,TTau*
V501 Aur  ,     , K2    , 49659--53311 ,10, 10.83--10.54 ,247,1.62, 1.35 , , \\,HBC     ,HBC     ,V501 Aur  ,04 57 06.5237,+31 42 50.551,K0,TTau*
V410 Tau  ,  29 , K3    , 46660--53300 ,19, 11.24--10.52 ,959,1.16, 1.04 ," VT(0.07, 0.29) ", wh01 \\,HBC  29 ,HBC  29 ,V410 Tau  ,04 18 31.1084,+28 27 16.153,K3Ve,TTau*
V819 Tau  , 378 , K7    , 48126--53272 ,15, 13.30--12.77 ,363,1.51, 1.46 , VB(10.5) , le93\\,HBC 378 ,HBC 378 ,V819 Tau  ,04 19 26.260,+28 26 14.30,K7,BYDra
V826 Tau  , 400 , K7    , 48135--49625 ,4, 12.19--12.04 ,94,1.38, 1.27 , SB($P=3.9$d) , mu83 \\,HBC 400 ,HBC 400 ,V826 Tau  ,04 32 15.837,+18 01 38.73,K7V,BYDra
