,RA,DEC,A_v,Luminosity,I,I_e,J,J_e,H,H_e,K_s,K_s_e,[3.6],[3.6]_e,[4.5],[4.5]_e,[5.8],[5.8]_e,[8.0],[8.0]_e
1,16 21 23.94,-24 00 19.8,0.0,-3.6,21.08,0.05,17.53,0.03,16.52,0.03,15.94,0.03,15.24,0.05,15.11,0.05,14.97,0.08,14.47,0.11
2,16 21 53.36,-23 40 19.2,0.7,-4.1,23.61,0.11,19.31,0.06,17.94,0.04,17.29,0.05,16.40,0.05,16.26,0.05,15.92,0.19,16.38,0.81
3,16 22 20.40,-23 07 52.3,6.2,-2.8,21.74,0.05,16.82,0.19,15.42,0.13,14.89,0.12,14.11,0.05,,,13.66,0.05,,
4,16 22 24.73,-23 26 20.2,0.7,-3.2,19.98,0.05,16.53,0.03,15.60,0.03,15.03,0.03,14.58,0.05,14.42,0.05,14.07,0.06,13.77,0.13
5,16 22 26.70,-23 08 53.3,2.1,-3.1,20.28,0.05,16.79,0.19,15.39,0.11,14.92,0.14,14.41,0.05,,,13.95,0.17,,
6,16 22 31.60,-23 10 15.2,1.7,-3.0,19.72,0.05,16.30,0.12,15.35,0.10,14.65,0.11,14.24,0.13,,,13.92,0.07,,
7,16 22 35.46,-24 13 22.2,0.0,-3.3,19.83,0.05,16.59,0.14,15.93,0.14,15.13,0.18,14.67,0.05,14.72,0.05,14.15,0.10,14.03,0.14
8,16 22 50.26,-23 09 47.7,0.2,-3.2,19.89,0.05,16.47,0.15,15.56,0.13,15.10,0.17,14.48,0.05,,,14.01,0.10,,
9,16 22 52.60,-23 18 07.8,0.1,-3.0,19.23,0.05,15.79,0.03,15.08,0.03,14.71,0.13,14.21,0.05,14.04,0.05,13.89,0.05,13.75,0.07
10,16 22 52.77,-23 30 49.1,1.6,-3.2,20.47,0.05,16.78,0.19,15.72,0.14,15.13,0.16,14.59,0.05,14.43,0.05,14.20,0.06,14.51,0.20
11,16 22 56.08,-24 14 31.2,1.6,-3.1,20.19,0.05,16.49,0.13,15.66,0.10,14.96,0.15,14.49,0.05,14.33,0.05,14.08,0.08,14.29,0.15
12,16 22 56.11,-23 16 12.1,1.5,-3.2,20.93,0.06,16.81,0.18,15.77,0.14,15.44,0.21,14.73,0.05,14.56,0.05,14.40,0.07,14.99,0.37
13,16 23 15.15,-23 47 05.1,6.4,-2.2,19.58,0.05,15.12,0.03,14.20,0.03,13.52,0.03,12.95,0.05,12.73,0.05,12.53,0.05,12.44,0.05
14,16 23 19.28,-23 33 40.6,0.0,-3.2,19.95,0.05,16.43,0.12,15.69,0.12,15.20,0.16,14.54,0.05,,,14.22,0.06,,
15,16 23 33.66,-23 52 36.5,0.0,-4.1,22.95,0.07,19.04,0.05,17.96,0.04,17.24,0.04,16.65,0.05,16.31,0.06,15.38,0.15,14.13,0.21
16,16 23 33.74,-23 48 37.2,0.2,-4.2,23.60,0.10,19.26,0.06,18.19,0.04,17.39,0.04,16.56,0.06,16.43,0.06,15.62,0.19,,
17,16 23 36.49,-23 44 04.8,1.2,-3.1,20.39,0.05,16.60,0.16,15.21,0.09,15.19,0.20,14.21,0.05,14.07,0.05,13.98,0.06,14.17,0.16
18,16 23 46.86,-23 36 38.1,1.8,-2.8,19.37,0.05,15.84,0.09,14.92,0.07,14.43,0.10,13.74,0.05,,,13.35,0.05,,
