
1972E	314.84	+30.08	404	190	678	Sd/Irr	-100.0	-38.0	+8.7	UBV	0.056	1
1980N	240.16	-56.63	1760	1633	1653	S0	-20.0	+220.0	-1.0	UBVRI	0.021	2
1981B	292.97	+64.74	1808	1662	2151	Sbc	+42.0	+39.0	-0.2	UBVR	0.018	3, 4
1981D	240.21	-56.69	1760	1633	1653	S0	-100.0	-20.0	-5.3	UBV	0.021	2
1986G	309.54	+19.40	547	301	803	S0	-60.0	+120.0	-5.7	UBVRI	0.115	5
1989B	241.92	+64.42	703	567	1051	Sb	+50.0	-15.0	-2.5	UBVRI	0.032	6
1990N	294.36	+75.98	978	885	1298	Sbc	-1.0	+65.0	-10.4	UBVRI	0.026	7
1990O	37.65	+28.35	9193	9340	9175	Sa	-3.9	+21.8	+0.6	BVRI	0.093	8
1990T	341.50	-31.53	12112	12025	12013	Sa	-1.9	+24.8	+14.9	BVRI	0.053	8
1990Y	232.64	-53.85	11721	11597	11622	E	-5.0	+1.0	+16.2	BVRI	0.008	8
1990af	330.81	-42.20	15169	15059	15056	S0	+7.4	-8.0	-3.1	BV	0.035	8
1991M	30.36	+45.90	2180	2265	2277	Sc	+60.0	+36.0	+1.8	VRI	0.038	9
1991S	214.06	+57.43	16369	16263	16688	Sb	+17.3	+4.4	+10.8	BVRI	0.026	8, 10
1991T	292.60	+65.19	1736	1591	2078	Sbc	+44.0	+26.0	-11.1	UBVRI	0.022	7, 10
1991U	311.82	+36.20	9503	9292	9801	Sbc	+5.8	-2.2	+10.4	BVRI	0.062	8
1991ag	342.56	-31.60	4264	4182	4161	Sb	+22.1	-4.4	+5.6	BVRI	0.062	8
1991bg	278.23	+74.46	1060	955	1391	E	-57.0	+2.0	+0.9	BVRI	0.041	11, 12, 13
1992A	235.90	-54.06	1877	1747	1781	S0	+62.0	-3.0	-7.0	UBVRI	0.018	10, 14
1992G	184.62	+59.84	1565	1541	1827	Sc	-10.0	+27.0	+3.0	VRI	0.020	9
1992J	263.55	+23.50	13371	13077	13708	E/S0	+12.0	-11.9	+14.6	BVI	0.057	8
1992K	306.28	+16.30	3087	2828	3340	Sb	-15.4	-1.9	+13.6	BVI	0.101	8
1992P	295.62	+73.10	7555	7449	7881	Sa	+9.8	-4.3	-0.5	BVI	0.021	8
1992ae	332.70	-41.90	22544	22440	22426	E	+4.0	+2.1	+2.5	BV	0.036	8
1992ag	312.48	+38.30	7465	7260	7765	Sa	0.0	-3.0	-0.4	BVI	0.097	8
1992al	347.33	-38.40	4377	4324	4228	Sb	-12.0	+19.0	-4.9	BVRI	0.034	8
1992aq	1.78	-65.30	30519	30536	30254	Sa	-7.1	+2.4	+2.2	BVI	0.012	8
1992au	319.11	-65.80	18407	18338	18213	E	+8.9	+21.2	+12.6	BVI	0.017	8
1992bc	245.70	-59.60	6056	5933	5936	Sab	-2.0	+16.1	-10.1	BVRI	0.022	8
1992bg	274.61	-18.30	10553	10261	10697	Sa	+5.8	-3.4	+4.3	BVI	0.185	8
1992bh	267.85	-37.30	13490	13254	13518	Sbc	-3.6	+1.9	-0.6	BVI	0.022	8
1992bk	265.01	-48.90	17418	17229	17372	E	+21.1	+11.9	+8.6	BVI	0.015	8
1992bl	344.12	-63.90	13101	13076	12871	S0/Sa	-21.8	+15.3	+3.1	BVI	0.011	8
1992bo	261.88	-80.30	5666	5636	5435	E/S0	-54.7	-47.3	-7.5	BVRI	0.027	8
1992bp	208.83	-51.00	23773	23704	23646	E/S0	-1.4	-5.4	-1.6	BVI	0.069	8
1992br	288.01	-59.40	26442	26306	26319	E	-6.3	+3.6	+1.8	BV	0.026	8
1992bs	240.02	-55.33	19097	18965	18998	Sb	+3.6	-9.0	+2.5	BV	0.011	8
1993B	273.32	+20.46	20866	20563	21191	Sb	+5.4	+0.9	+3.6	BVI	0.079	8
1993H	318.22	+30.33	7165	6962	7430	Sb	+12.3	+1.0	-1.1	BVRI	0.060	8, 10
1993L	5.95	-64.37	1858	1885	1587	Sc	+1.4	-25.0	+17.3	BVRI	0.014	10
1993O	312.41	+28.92	15289	15065	15567	E/S0	+8.4	-14.1	-6.3	BVI	0.053	8
1993ac	149.70	+17.21	14800	14959	14784	E	+31.0	-5.3	+7.0	BVRI	0.163	15
1993ae	144.62	-63.22	5712	5820	5410	E	+22.7	+16.1	+13.8	BVRI	0.038	15
1993ag	268.43	+15.92	14690	14382	15003	E/S0	-6.1	-5.0	-1.7	BVI	0.112	8
1993ah	25.88	-76.77	8842	8892	8543	S0	+8.1	-0.9	+11.8	BVI	0.020	8
1994D	290.15	+70.14	592	469	928	S0	+7.8	-9.0	-13.5	UBVRI	0.022	10, 16, 17, 18
1994M	291.68	+63.03	6943	6788	7289	E	-28.2	+3.4	+3.1	BVRI	0.023	15
1994Q	64.38	+39.67	8672	8871	8670	S0	-3.7	-0.1	+10.8	BVRI	0.017	15
1994S	187.37	+85.14	4525	4501	4806	Sab	-6.9	-14.0	-4.5	BVRI	0.021	15
1994T	318.01	+59.83	10396	10265	10709	Sa	-12.0	+3.8	+0.2	BVRI	0.029	15
1994ae	225.34	+59.66	1301	1175	1637	Sc	+6.1	-29.7	-11.6	UBVRI	0.030	10, 19
1995D	230.02	+39.65	1966	1774	2300	S0	-87.8	+11.8	-6.5	BVRI	0.058	10, 15
1995E	141.99	+30.26	3470	3638	3496	Sb	-20.8	+7.6	-1.9	BVRI	0.027	15
1995ac	58.69	-55.04	14990	15157	14635	Sa	-1.4	-0.9	-5.1	BVRI	0.042	10, 15
1995ak	169.65	-48.98	6811	6875	6589	Sbc	+0.8	-7.1	+3.6	BVRI	0.038	15
1995al	192.17	+50.83	1514	1465	1777	Sbc	-3.1	-14.7	-3.9	UBVRI	0.014	15
1995bd	187.11	-21.66	4377	4364	4326	Sa	-1.0	+22.9	-8.4	BVRI	0.498	15
1996C	99.59	+65.00	8094	8206	8244	Sa	+13.2	-1.8	+2.4	BVRI	0.013	15
1996X	310.23	+35.64	2032	1815	2333	E	-31.7	-51.4	-3.0	UBVRI	0.069	15, 20
1996Z	253.60	+22.55	2254	1971	2584	Sb	-69.9	+2.0	+6.1	BVR	0.064	15
1996ab	43.15	+56.93	37109	37201	37239	Sa	+0.6	+2.0	+1.0	BV	0.032	15
1996ai	101.58	+79.24	873	910	1101	Scd	+2.9	+23.3	-1.1	UBVRI	0.014	15
1996bk	111.25	+54.88	1985	2139	2085	S0	-9.7	-18.1	+3.0	BVRI	0.018	15
1996bl	116.99	-51.30	10793	10990	10447	Sc	+5.6	-3.2	-2.4	BVRI	0.092	15
1996bo	144.46	-48.95	5182	5328	4893	Sc	-2.1	+6.7	-6.2	BVRI	0.077	10, 15
1996bv	157.33	+17.97	4996	5119	5013	Sa	+2.0	-2.0	+5.1	BVRI	0.105	15
1997E	140.20	+25.81	4001	4184	3997	S0	+57.0	-32.0	-2.6	UBVRI	0.124	21
1997Y	124.77	+62.37	4806	4911	4964	Sb	+2.0	-8.0	+2.2	UBVRI	0.017	21
1997bp	301.15	+51.21	2492	2301	2831	Sd/Irr	-20.0	-15.0	-2.1	UBVRI	0.044	10, 21
1997bq	136.29	+39.48	2780	2943	2839	Sbc	-60.0	+50.0	-10.3	UBVRI	0.024	21
1997br	311.84	+40.32	2085	1884	2391	Sd/Irr	+52.0	-21.0	-8.7	UBVRI	0.113	10, 21, 22
1997cn	9.14	+69.51	4855	4846	5092	E	-12.0	+7.0	+5.4	UBVRI	0.027	21, 23
1997cw	113.09	-49.48	5133	5342	4782	Sab	+4.0	+8.0	+12.0	UBVRI	0.073	21
1997dg	103.61	-33.98	9238	9507	8890	\ldots	0.0	+2.0	+0.8	UBVRI	0.078	21
1997do	171.00	+25.26	3034	3084	3140	Sbc	-4.0	-3.0	-6.1	UBVRI	0.063	21
1997dt	87.56	-39.12	2194	2451	1828	Sbc	+1.0	-9.0	-7.9	UBVRI	0.057	21
1998D	63.78	+72.91	3765	3825	3962	Sa	-7.0	-26.0	+32.4	UBVRI	0.015	21
1998V	43.94	+13.34	5268	5464	5148	Sb	+21.0	-21.0	+2.7	UBVRI	0.196	21
1998ab	124.86	+75.19	8134	8181	8354	Sc	+12.0	+2.0	-7.4	UBVRI	0.017	21
1998aq	138.83	+60.26	1184	1274	1354	Sb	+7.0	-18.0	-10.1	UBVRI	0.014	19
1998bp	43.64	+20.48	3127	3312	3048	E	+13.0	-1.0	-1.5	UBVRI	0.076	21
