BKLT	Other ID	RA_1950	DEC_1950	SpT_prev	SpT_IR	SpT_adopted	Teff	AJ	Lbol	J-H	H-K	K	rK	BrGamma
														
	SR 22	16 22 22.7	-24 22 55.0	K7-M0(GM), M0(CK), M3.5(M)	K6-M2	M0	3850.0	0.6	0.76	0.93	0.45	8.7	0.25	1.9 \pm 0.4
162536-241544	IRS 2	16 22 35.59	-24 08 57.6	K7(GM)	K3-K4	K3.5	4660.0	1.9	2.1	1.39	0.70	8.36	0	0
162556-242050	SR 4, EL 13, YLW 25, IRS 12, ROXs 6, WSB 25, DoAr 20	16 22 54.82	-24 14 04.5	K6(BA), K7(CK)	K5-M2	K8	3955.0	0.5	1.9	1.06	0.72	7.25	1.5, 2, 1.5	6.7 \pm 0.3, 4.5 \pm 0.5, 5.5 \pm 0.5
162557-243032	GSS 20, IRS 13, ROXs 7	16 22 56.11	-24 23 46.6	K7(GM), K7(BA)	K5-K7	K6	4205.0	0.9	1.1	1.12	0.63	8.37	0	0
162558-242203		16 22 57.23	-24 15 17.7		K0-K2 III:	b?				2.57	1.46	11.41	?	0
162559-242124		16 22 58.32	-24 14 38.3		M4	M4	3180.0	0.0	0.21	0.65	0.45	9.52	0	0
162601-242521		16 23 00.01	-24 18 36.2		K-M:					1.90	1.23	11.1	?	0
162603-242337	GSS 23, DoAr 21, EL 14, ROXs 8, VSS 93	16 23 01.65	-24 16 52.4	K0(BA), K0(M)	K0-K2	K1	5080.0	1.6	18.0	1.26	0.59	6.16	0	0
162605-242451(c)		16 23 03.64	-24 18 05.9	Early(WGM)		b				>1.1	1.91	13.99		
162609-243411	GSS 25, VSS 92, EL 16, YLW 28, SR 3	16 23 07.84	-24 27 26.6	A0(SR)	<F3	A0	9520.0	2.3	160.0	0.86	0.49	6.42	0	0
162610-242056	GSS 26	16 23 08.97	-24 14 11.6		K5-M2	K8	3955.0	6.0	1.3	3.34	2.25	9.38	4, 0.75	2.9 \pm 0.2, 1.7 \pm 0.3
