ID	f_ID	RAh	RAm	RAs	DEd	DEm	DEs	SpType	r_SpType	Adopt	Mem	Teff	AJ	LBol	R-I	Imag	I-Z	J-H	H-K	Kmag	RefPhot	IMF?
1	h	3.0	44.0	34.2	32.0	9.0	46.3	B5V,B3-B4,<F8(IR)	1,2,2	B5	A_V_,pm	15400.0	0.54	605.0				0.15	0.12	6.51	3	yes
2		3.0	44.0	35.36	32.0	10.0	4.6	A2,<F8(IR)	1,2	A2	A_V_,pm	8970.0	1.08	137.0				0.42	0.29	7.25	3	yes
3		3.0	44.0	50.65	32.0	19.0	6.8	A0,<F8(IR)	4,2	A0	A_V_	9520.0	1.26	135.0				0.48	0.24	7.66	3	no
4		3.0	44.0	31.19	32.0	6.0	22.1	F0m:,<F8(IR)	1,2	F0	A_V_,pm	7200.0	0.5	34.0				0.31	0.16	7.86	3	yes
5		3.0	44.0	26.03	32.0	4.0	30.4	K0/23,F8-G8/2.1,?(IR)	5,2,2	G8	A_V_,ex,e	5520.0	1.5	9.9	1.35	12.44	0.72	1.21	0.73	8.14	3	no
6	h	3.0	44.0	36.94	32.0	6.0	45.4	F8,F8-G8,G3-G7(IR)	4,2,2	G3	A_V_,pm	5830.0	1.1	17.0				0.72	0.29	8.19	3	yes
7		3.0	44.0	8.48	32.0	7.0	16.5	A0V,<F8(IR)	1,2	A0	A_V_,pm	9520.0	0.26	35.0				0.1	0.12	8.6	3	yes
8		3.0	44.0	9.15	32.0	7.0	9.3	A2V,<F8(IR)	1,2	A2	A_V_,pm	8970.0	0.27	28.0				0.11	0.14	8.62	3	yes
9	h	3.0	44.0	39.17	32.0	9.0	18.3	G5-K0,G6-K1(IR)	2,2	G8	A_V_	5520.0	1.56	11.0	1.39	12.3	0.68	0.93	0.36	8.77	3	no
10		3.0	44.0	24.66	32.0	10.0	15.0	F2,<F8(IR)	1,2	F2	A_V_,pm	6890.0	0.54	13.0				0.35	0.2	8.79	3	yes
11		3.0	45.0	7.96	32.0	4.0	2.1	F7-G6/1.5,G2-G7(IR)	2,2	G4	A_V_,e	5800.0	1.76	11.0		12.66	0.74	0.96	0.44	8.88	3	no
12A	i	3.0	44.0	31.96	32.0	11.0	43.9	G0,A0-A5?,<F8?(IR)	5,2,2	G0	A_V_,e	6030.0	1.23	4.0	1.15	12.64	0.74	0.71	0.44	8.92	3	no
12B		3.0	44.0	32.06	32.0	11.0	44.0	A0-A5?,<F8?(IR)	2,2	A3	A_V_,e	8720.0	2.12	29.0		12.94	0.78					no
13		3.0	43.0	59.65	32.0	1.0	54.2	K7-M2(IR)	2	M0.5	A_V_,ex,e	3778.0	4.13	3.2		19.46		2.67	1.85	8.93	3	no
15		3.0	44.0	44.73	32.0	4.0	2.6	M0.5/36,K7-M1(IR)	2,2	M0.5	A_V_,ex,e	3778.0	1.12	1.9		13.34	0.74	1.09	0.6	9.33	3	yes
