ID	RA	Dec	SpectralType	Ref	ForegroundEvidence	R-I	I	I-Z	J-H	H-Ks	Ks
18	03 43 58.04	32 09 47.1	F8	1	pm				0.28	0.13	9.36
28	03 44 21.06	32 07 38.7	F8	1	pm				0.3	0.11	9.62
54	03 44 49.59	32 16 45.7	K1-K2	2	Li, A_{V}		12.04	0.32	0.5	0.16	10.5
57	03 44 48.51	32 15 28.1	K3-K4	2	pm		12.45	0.36	0.68	0.15	10.56
77	03 44 43.44	32 08 17.4	M1, K5-M0(IR)	3, 2	pm	0.96	12.9	0.37	0.62	0.23	10.85
107	03 43 55.81	32 19 44.3	M1, K6-M1(IR)	2, 2	pm		13.33	0.45	0.68	0.26	11.21
121	03 44 25.95	32 16 30.7	K4-K7(IR)	2	pm		13.39	0.37	0.8	0.12	11.36
134	03 43 59.88	32 11 16.2	M3.5, M2-M4(IR)	2, 2	pm		13.56	0.49	0.64	0.2	11.34
189	03 43 41.52	32 15 00.2	M0	2	Li, A_{V}		14.33	0.41	0.62	0.27	12.06
281	03 44 06.82	32 04 40.9	M2.5	4	pm		15.09	0.51	0.61	0.26	12.79
320	03 43 34.44	32 18 44.2			pm		16.48	0.59	1.0	0.31	13.31
326	03 43 53.26	32 13 00.2			pm		15.76	0.55	0.56	0.25	13.35
354	03 44 59.56	32 14 24.9			pm		15.9	0.57	0.63	0.22	13.5
400	03 43 43.93	31 59 43.2			pm	1.6	17.05	0.62	0.68	0.27	14.54
404	03 44 44.47	32 10 05.8	M3, M3, M3	3, 2, 5	A_{V}	1.52	16.65	0.57	0.68	0.23	14.16
958	03 44 55.49	32 13 07.9	M5.5	5	A_{V}, NaK	2.32	19.36	0.8	0.76	0.32	16.07
1674	03 45 13.57	32 00 20.5			pm	1.42	16.64	0.5	0.6	0.01	14.34
1696	03 45 05.92	32 08 26.5			pm	0.98	17.54	0.4	0.68	0.07	15.38
1701	03 45 03.04	32 11 25.7			pm	1.04	17.42		0.69	0.12	15.07
1788	03 44 02.08	32 20 24.7			pm	0.86	17.4	0.34	0.56	0.45	15.3
