ID	RA	Dec	SpectralType	Ref	R-I	I	I-Z	J-H	H-Ks	Ks
14	03 44 54.95	32 12 11.3	K0-K1 III, K1-K2 III(IR)	1, 1		12.77	0.77	1.04	0.43	8.93
27	03 43 36.16	32 13 32.9	F7-G6, giant(IR)	1, 2		12.57	0.54	0.83	0.29	9.68
34	03 44 15.48	32 02 35.1	G8 III(IR)	1	2.28	16.91	1.18	1.98	0.98	9.89
43	03 45 03.19	32 04 05.7	Giant(op, IR)	3, 2		14.64	0.83	1.21	0.45	10.29
73	03 45 09.64	32 16 03.6	Giant	2		13.73	0.55	0.83	0.28	10.81
80	03 44 27.88	32 10 52.2	K1 III(IR)	1	2.6	18.52	1.35	2.19	1.03	10.87
84	03 44 42.14	32 02 57.8	Giant(op, IR)	3, 2		15.04	0.74	1.19	0.39	11.01
89	03 44 57.58	32 12 24.4	Giant(op, IR)	3, 2		14.4	0.71	0.99	0.28	11.04
106	03 44 14.13	32 10 28.3	Giant	2	1.49	14.65	0.72	0.91	0.37	11.26
114	03 44 05.77	32 12 29.0	Giant	2		13.85	0.53	0.77	0.17	11.35
127	03 44 59.79	32 06 47.9	F2-F5, <F8(IR)	1, 1		13.53	0.44	0.59	0.14	11.36
131	03 43 46.81	32 15 08.9	F0-F4, <F8(IR)	1, 1		13.45	0.41	0.54	0.2	11.41
143	03 44 16.51	32 05 32.7	F(op, IR)	2	1.85	16.5	0.97	1.26	0.58	11.5
152	03 43 47.54	32 19 43.8	F0-F6	1		13.56	0.38	0.52	0.2	11.71
164	03 43 57.27	32 12 57.8	Giant	2		14.56	0.53	0.79	0.19	11.85
195	03 44 08.06	32 06 56.4	Early or giant	2		16.28	0.83	1.01	0.46	12.1
206	03 43 54.53	32 10 14.0	Giant	2	1.26	15.11		0.85	0.24	12.22
212	03 44 30.13	32 01 18.3	Early or giant	3	2.61	18.73	1.15	1.68	0.85	12.34
219	03 44 29.70	32 05 52.1	Late F/early G(op, IR)	2		16.09	0.78	0.96	0.4	12.29
232	03 44 36.41	32 09 19.7	F7-G7(IR)	1		17.71	1.02	1.26	0.61	12.46
235	03 44 20.92	32 12 37.5	Giant	2		15.65	0.59	0.81	0.26	12.79
236	03 44 59.54	32 10 39.6	Giant	3		14.68	0.49	0.68	0.17	12.36
246	03 44 46.24	32 03 12.9	Early or giant	3		15.69	0.63	0.84	0.3	12.57
269	03 44 34.36	32 04 21.8	Early or giant	2		16.65	0.79	1.0	0.38	12.72
282	03 44 57.63	32 07 01.8	Early or giant	3		15.3	0.52	0.7	0.21	12.79
284	03 44 56.83	32 05 45.3	Early	2		15.15	0.48	0.62	0.2	12.85
311	03 44 41.06	32 02 17.0	Early or giant	3	1.91	17.88	0.87	1.36	0.52	13.08
317	03 44 46.01	32 12 05.5	Early or giant	3	2.09	18.46	1.07	1.38	0.62	13.16
339	03 45 00.40	32 12 48.4	Early or giant	3		15.95	0.54	0.73	0.21	13.42
352	03 44 23.76	32 11 56.0	Early or giant	1	1.69	17.45	0.77	1.22	0.43	13.36
369	03 45 07.49	32 09 09.5	Early or giant	3		16.53	0.54	0.99	0.2	13.56
370	03 45 06.87	32 12 42.6	Giant	2	1.34	16.98		1.0	0.24	13.81
384	03 44 24.34	32 07 58.6	Early or giant	3		18.72	0.95	1.38	0.51	13.82
434	03 44 20.58	32 03 12.2	Early or giant	2		20.46	1.21	1.7	0.65	14.35
442	03 44 40.67	32 09 41.3	Early or giant	1	1.33	17.4	0.69	0.87	0.34	14.09
450	03 44 01.93	32 11 21.9	Early or giant	2	1.06	16.76	0.48	0.77	0.17	14.25
479	03 44 51.54	32 04 29.3	M2.5-M3.5	2	2.67	19.92	1.0	1.31	0.64	14.77
547	03 44 31.32	32 07 29.7	Giant	3		18.86	0.15	0.93	0.4	15.71
548	03 44 33.32	32 07 52.3	Early or giant	3	1.75	19.91		1.33	0.32	15.79
550	03 44 36.42	32 10 29.2	Early or giant	3	2.52	19.22	0.9	1.53	0.51	14.4
609	03 44 44.91	32 09 37.5	Early or giant	2		21.15	0.77	1.14	0.82	16.43
618	03 44 43.94	32 08 37.0	M2.5-M3.5	2		20.87	0.98	1.23	0.48	16.58
630	03 44 25.51	32 07 46.0	Early or giant	2		22.78	1.31	1.21	0.12	17.81
631	03 44 33.88	32 07 29.9	M1	3	1.89	19.97	0.87	1.14	0.5	15.49
681	03 44 46.30	32 02 15.0	Early or giant	2		20.79	0.98	1.34	0.65	15.59
689	03 44 40.54	32 03 03.9	M2-M4	2		20.85	1.01	1.06	0.57	15.93
702	03 44 53.56	32 03 43.4	M3-M4.5	2		21.04	1.0	1.31	0.63	15.65
709	03 44 56.08	32 03 55.8	M3.5-M4.5	2	2.22	20.37	1.01	1.14	0.52	15.7
713	03 44 54.19	32 04 26.9	M0-M2	2	2.51	20.68	0.9	1.15	0.64	16.27
719	03 44 42.02	32 04 46.6	M1.5-M3.5	2		20.72	0.74	0.96	0.51	16.52
741	03 44 01.37	32 05 50.0	Early or giant	2	2.25	19.83	1.03	1.42	0.62	14.4
746	03 44 49.96	32 06 14.6	M4-M6	2		20.91	0.96	0.88	0.87	16.26
774	03 44 31.52	32 07 06.5	Early or giant	2	2.39	20.29	0.77	1.38	0.55	15.83
813	03 44 49.96	32 08 41.3	M2.25	2	2.61	19.79	0.83	1.05	0.41	15.59
817	03 44 50.16	32 08 43.9	M3-M4	2	2.22	20.43	0.89	1.21	-0.03	15.96
829	03 44 56.88	32 09 14.3	M0-M2	3	1.97	18.85	0.66	1.1	0.44	14.82
842	03 44 51.42	32 09 45.9	M3.25	2	2.26	20.01		1.05	0.44	15.9
850	03 44 16.98	32 10 13.4	M1-M3	2		20.33	0.87	1.17	0.59	15.64
863	03 44 10.61	32 10 55.1	M0-M1.5	2	3.31	20.13	0.8	1.13	0.51	16.05
934	03 45 03.12	32 12 52.1	M4.5	2	2.5	20.3	0.84	1.15	0.5	16.24
944	03 44 01.91	32 12 53.1	M3.5-M4.5	2	2.27	20.16	0.8	1.04	0.38	16.43
963	03 44 24.14	32 13 14.7	<M1 or giant	2		20.22	0.77	1.13	0.45	16.2
983	03 44 28.74	32 13 43.8	M3.5-M4.5	2		20.13	1.05	1.24	0.6	15.36
991	03 44 55.37	32 13 51.5	M2-M3.5	2	2.26	19.94	0.99	1.24	0.53	15.25
1010	03 44 04.20	32 14 06.5	M2-M4	2		20.22	1.0	1.02	0.53	16.09
