	Name_2MASS	Name_alt	Spectral_Type	T_eff	AJ	L_bol	IMF
0	J10463795-7736035	HD 93828	F0	7200	0.0	8.9	
1	J10523694-7440287		M4.75	3161	0.18	0.1	
2	J10550964-7730540	ESO H\alpha 552	M4.5	3198	0.34	0.083	
3		T3B	M3.5	3342	0.0	0.04	
4	J10555973-7724399	T3A	M0	3850	0.79	0.42	
5	J10561638-7630530	ESO H\alpha 553	M5.6	3044	0.0	0.031	
6	J10563044-7711393	T4	M0.5	3778	0.23	0.57	
7	J10574219-7659356	T5	M3.25	3379	0.34	0.33	
8	J10580597-7711501		M5.25	3091	0.45	0.022000000000000002	
9	J10581677-7717170	T6	K0	5250	0.42	1.9	
10	J10590108-7722407	T7	K8	3955	0.34	0.57	
11	J10590699-7701404	T8	K2	4900	0.0	2.4	
12	J11004022-7619280	T10	M3.75	3306	0.2	0.077	
13	J11011370-7722387		M5.25	3091	0.27	0.025	
14	J11011875-7627025	CHXR 9C	M2.25	3524	0.45	0.56	
15	J11011926-7732383		M7.25	2838	0.45	0.021	
16		Cha J11011944-7732374	M8.25	2632	0.0	0.0065	
17	J11013205-7718249	ESO H\alpha 554	M8	2710	0.0	0.0046	
18	J11021927-7536576		M4.5	3198	0.27	0.062	
19	J11022491-7733357	T11	K6	4205	0.07	1.2	
20	J11022610-7502407		M4.75	3161	0.14	0.075	
21	J11023265-7729129	CHXR 71	M3	3415	0.47	0.17	
22	J11024183-7724245	[LM04] 423	M5	3125	0.72	0.049	
23	J11025504-7721508	T12	M4.5	3198	0.0	0.081	
24	J11034186-7726520	ISO 28	M5.5	3058	0.61	0.036000000000000004	
25	J11034764-7719563	Hn 2	M5	3125	0.68	0.18	
26	J11035682-7721329	CHXR 12	M3.5	3342	0.2	0.21	
27	J11040425-7639328	CHSM 1715	M4.25	3234	0.74	0.045	
28	J11040909-7627193	T14	K5	4350	0.45	0.95	
29	J11041060-7612490	CHSM 1982	M6	2990	0.11	0.019	
30	J11042275-7718080	T14A	K7	4060	0.45	0.013000000000000001	
31	J11044258-7741571	ISO 52	M4	3270	0.36	0.09300000000000001	
32	J11045100-7625240	CHXR 14N	K8	3955	0.23	0.35	
33	J11045285-7625514	CHXR 14S	M1.75	3596	0.23	0.26	
34	J11045701-7715569	T16	M3	3415	1.6	0.21	
35	J11050752-7812063		M4.75	3161	0.18	0.077	
36	J11051467-7711290	Hn 4	M3.25	3379	0.79	0.31	1
37	J11052272-7709290		M4.75	3161	0.54	0.035	1
38	J11052472-7626209		M2.75	3451	0.23	0.12	1
39	J11054300-7726517	CHXR 15	M5.25	3091	0.11	0.11	1
40	J11055261-7618255	T20	M1.5	3632	0.11	0.35	1
41	J11055780-7607488	HD 96675	B6.5	13500	0.02	98.0	
42	J11060010-7507252		M4.5	3198	0.18	0.047	
43	J11061540-7721567	T21	G5	5770	0.92	16.0	1
44	J11061545-7737501	Cam 2-19	M2.75	3451	2.82	0.44	
45	J11062554-7633418	ESO H\alpha 559	M5.25	3091	1.01	0.052000000000000005	1
46		CHXR 73B	\geq M9	\leq 2400	2.12	0.0017	
47	J11062877-7737331	CHXR 73A	M3.25	3379	1.85	0.17	
48	J11063276-7625210	CHSM 7869	M6	2990	0.45	0.0098	1
49	J11063799-7743090	Cha H\alpha 12	M6.5	2935	0.18	0.024	1, 2
50	J11063945-7736052	ISO 79	M5.25	3091	0.77	0.0074	1, 2
51	J11064180-7635489	Hn 5	M4.5	3198	0.32	0.11	1
52	J11064346-7726343	T22	M3	3415	0.99	0.42	1
53	J11064510-7727023	CHXR 20	K6	4205	1.08	1.1	1
54	J11065733-7742106	CHXR 74	M4.25	3234	0.54	0.15	1,2
55	J11065906-7718535	T23	M4.25	3234	0.0	0.11	1
56	J11065939-7530559		M5.25	3091	0.18	0.012	
57	J11070324-7610565		M6	2990	0.11	0.01	
58		ESO H\alpha 281	M4.5	3198	1.05	0.057	1
59	J11070925-7718471	ISO 91	M3	3415	4.51	0.25	
60	J11071148-7746394	CHXR 21	M3	3415	1.04	0.34	1
61	J11071181-7625501	CHSM 9484	M5.25	3091	0.5	0.018000000000000002	1
62	J11071206-7632232	T24	M0.5	3778	0.63	0.36	1
63	J11071330-7743498	CHXR 22E	M3.5	3342	1.35	0.22	2
64	J11071668-7735532	Cha H\alpha 1	M7.75	2752	0.0	0.015	1, 2
65	J11071860-7732516	Cha H\alpha 9	M5.5	3058	1.62	0.046	
66	J11071915-7603048	T25	M2.5	3488	0.45	0.24	
67	J11072022-7738111		M4.25	3234	0.68	0.16	1, 2
68	J11072040-7729403	ISO 99	M4.5	3198	0.0	0.12	1
69	J11072074-7738073	T26	G2	5860	0.75	12.0	1, 2
70	J11072443-7743489	[LM04] 429	M5.75	3024	1.08	0.036000000000000004	1, 2
71		Cha J11072647-7742408	\geq M9	\leq 2400	0.28	0.00043	1, 2
72	J11072825-7652118	T27	M3	3415	0.14	0.22	1
73	J11073519-7734493	CHXR 76	M4.25	3234	0.68	0.091	1
74	J11073686-7733335	CHXR 26	M3.5	3342	2.26	0.66	
75	J11073775-7735308	Cha H\alpha 7	M7.75	2752	0.23	0.013999999999999999	1, 2
76	J11073832-7747168	ESO H\alpha 560	M4.5	3198	0.63	0.078	1
77	J11073840-7552519		M4.75	3161	0.27	0.034	
78	J11074245-7733593	Cha H\alpha 2	M5.25	3091	1.06	0.11	1, 2
79	J11074366-7739411	T28	M0	3850	1.35	1.4	2
80	J11074610-7740089	Cha H\alpha 8	M5.75	3024	0.45	0.037000000000000005	1, 2
81	J11074656-7615174	CHSM 10862	M5.75	3024	0.45	0.013000000000000001	
82	J11075225-7736569	Cha H\alpha 3	M5.5	3058	0.63	0.07	1, 2
83	J11075588-7727257	CHXR 28	K6	4205	1.54	4.0	
84	J11075730-7717262	CHXR 30B	M1.25	3669	3.16	0.22	
85	J11075792-7738449	T29	K6	4205	1.24	2.4	2
86	J11075809-7742413	T30	M2.5	3488	1.26	0.15	2
87	J11075993-7715317	ESO H\alpha 561	M5.75	3024	0.68	0.057999999999999996	1
88	J11080002-7717304	CHXR 30A	K8	3955	2.98	1.4	
89	J11080148-7742288	T31	K8	3955	0.72	3.0	1, 2
90	J11080234-7640343	[LM04] 717	M6	2990	0.11	0.023	1
91	J11080297-7738425	ISO 126	M1.25	3669	1.35	0.33	2
92	J11080329-7739174	T32	B9.5	10010	0.72	70.0	1, 2
93	J11080609-7739406		\geq M9	\leq 2400	0.0	0.00059	1, 2
94		T33B	K6	4205	0.52	0.78	1, 2
95	J11081509-7733531	T33A	G7	5630	0.85	2.8	1, 2
96	J11081648-7744371	T34	M3.75	3306	0.29	0.15	1
97	J11081703-7744118	Cha H\alpha 13	M5.5	3058	0.32	0.083	1, 2
98	J11081850-7730408	ISO 138	M6.5	2935	0.0	0.0075	1
99	J11081896-7739170	Cha H\alpha 4	M5.5	3058	0.23	0.055	1, 2
100		Cha J11081938-7731522	M4.75	3161	0.45	0.00062	
101	J11082238-7730277	ISO 143	M5	3125	1.13	0.08800000000000001	1
102	J11082404-7739299	Cha H\alpha 10	M6.25	2962	0.11	0.0066	1, 2
103	J11082410-7741473	Cha H\alpha 5	M5.5	3058	0.56	0.08199999999999999	1, 2
104	J11082570-7716396		M8	2710	0.68	0.0014	1
105	J11082650-7715550	ISO 147	M5.75	3024	0.68	0.019	1
106	J11082927-7739198	Cha H\alpha 11	M7.25	2838	0.0	0.0047	1, 2
107		Cha J11083040-7731387	\geq M9	\leq 2400	0.28	0.00033	1, 2
108	J11083905-7716042	T35	K8	3955	1.31	0.53	
109	J11083952-7734166	Cha H\alpha 6	M5.75	3024	0.38	0.057	1, 2
110	J11084069-7636078	CHXR 33	M2.5	3488	1.26	0.74	
111	J11084952-7638443		M8.75	2478	0.0	0.0014	1
112	J11085090-7625135	T37	M5.25	3091	0.11	0.038	1
113	J11085176-7632502	[LM04] 737	M7.25	2838	0.59	0.011000000000000001	1
114	J11085421-7732115	CHXR 78C	M5.25	3091	0.56	0.066	1, 2
115	J11085464-7702129	T38	M0.5	3778	0.9	0.34	1
116	J11085497-7632410	ISO 165	M5.5	3058	0.63	0.035	1
117	J11085596-7727132	ISO 167	M5.25	3091	1.69	0.061	
118	J11090512-7709580	Hn 7	M4.75	3161	0.18	0.068	1
119		T39A	M2	3560	0.34	0.33	1
120		T39B	M3	3415	0.45	0.26	
121		Cha J11091363-7734446	\geq M9	\leq 2400	0.28	0.00047000000000000004	1, 2
122	J11091380-7628396	CHXR 35	M4.75	3161	0.18	0.07200000000000001	1
123	J11091769-7627578	CHXR 37	K7	4060	0.9	1.1	1
124	J11091812-7630292	CHXR 79	M1.25	3669	1.92	0.55	
125	J11092266-7634320	C1-6	M1.25	3669	3.27	0.8	
126	J11092379-7623207	T40	K6	4205	0.56	0.53	1
127	J11092913-7659180	[LM04] 602	M5.25	3091	0.45	0.024	1
128	J11093543-7731390		M8.25	2632	0.0	0.0014	1, 2
129	J11093777-7710410	Cam 2-42	K7	4060	3.16	2.0	
130	J11094006-7628391	CHXR 40	M1.25	3669	0.56	0.68	1
131	J11094260-7725578	C7-1	M5	3125	1.92	0.23	
132	J11094525-7740332	ESO H\alpha 566	M5.75	3024	0.5	0.057999999999999996	1, 2
133	J11094621-7634463	Hn 10E	M3.25	3379	1.01	0.15	1
134	J11094742-7726290	B43	M3.25	3379	2.26	0.22	
135	J11094918-7731197	KG 102	M5.5	3058	0.68	0.036000000000000004	1
136	J11095003-7636476	T41	B9	10500	0.7	57.0	1
137	J11095215-7639128	ISO 217	M6.25	2962	0.68	0.023	1
138	J11095262-7740348	CHSM 15991	M3	3415	0.79	0.0029	
139	J11095336-7728365	ISO 220	M5.75	3024	1.71	0.03	
140	J11095340-7634255	T42	K5	4350	1.47	3.0	
141	J11095407-7629253	T43	M2	3560	1.47	0.48	
142	J11095437-7631113	ISO 225	M1.75	3596	1.24	0.013000000000000001	
143	J11095873-7737088	T45	M1.25	3669	0.56	0.84	1, 2
144	J11100010-7634578	T44	K5	4350	1.35	5.5	
145	J11100192-7725451	[LM04] 419	M5.25	3091	2.03	0.062	
146	J11100369-7633291	Hn 11	K8	3955	2.14	0.66	
147	J11100469-7635452	T45A	M1	3705	0.54	0.43	1
148	J11100658-7642486		M9.25	2350	0.0	0.001	1
149	J11100704-7629376	T46	M0	3850	1.13	1.4	1
150	J11100785-7727480	ISO 235	M5.5	3058	2.41	0.11	
151	J11100934-7632178	OTS 44	M9.5	2300	0.0	0.0007700000000000001	1
152	J11101141-7635292	ISO 237	K5.5	4278	1.92	1.2	
153	J11101153-7733521		M4.5	3198	0.56	0.077	1
154	J11102226-7625138	CHSM 17173	M8	2710	0.0	0.013000000000000001	1
155	J11102852-7716596	Hn 12W	M5.5	3058	0.0	0.066	1
156	J11103481-7722053	[LM04] 405	M4	3270	1.94	0.32	
157	J11103644-7722131	ISO 250	M4.75	3161	2.32	0.23	
158	J11103801-7732399	CHXR 47	K3	4730	1.44	2.6	
159	J11104006-7630547		M7.25	2838	0.59	0.0082	1
160	J11104141-7720480	ISO 252	M6	2990	0.97	0.022000000000000002	1
161	J11104959-7717517	T47	M2	3560	1.17	0.42	1
162	J11105076-7718031	ESO H\alpha 568	M4.25	3234	0.81	0.11	1
163	J11105333-7634319	T48	M3.75	3306	0.14	0.13	1
164	J11105359-7725004	ISO 256	M4.5	3198	2.55	0.07	
165	J11105597-7645325	Hn 13	M5.75	3024	0.23	0.13	1
166	J11111083-7641574	ESO H\alpha 569	M2.5	3488	0.68	0.003	
167	J11112249-7745427	[LM04] 436	M8.25	2632	0.0	0.0022	
168	J11112260-7705538	ISO 274	M4.5	3198	0.45	0.1	
169	J11113474-7636211	CHXR 48	M2.5	3488	0.23	0.21	
170	J11113965-7620152	T49	M2	3560	0.34	0.37	
171	J11114533-7636505	[LM04] 743	M8	2710	0.34	0.0033	
172	J11114632-7620092	CHX 18N	K6	4205	0.2	1.3	
173	J11115400-7619311	CHXR 49NE	M2.5	3488	0.14	0.36	
174	J11120288-7722483		M6	2990	0.68	0.022000000000000002	
175	J11120327-7637034	CHXR 84	M5.5	3058	0.0	0.063	
176	J11120351-7726009	ISO 282	M4.75	3161	1.01	0.03	
177	J11120984-7634366	T50	M5	3125	0.11	0.15	
178	J11122250-7714512		M9.25	2350	0.0	0.0015	
179	J11122441-7637064	T51	K3.5	4660	0.0	1.0	
180	J11122772-7644223	T52	G9	5410	0.42	5.0	
181	J11123092-7644241	T53	M1	3705	0.79	0.39	
182	J11123099-7653342	[LM04] 601	M7	2880	0.0	0.0074	
183	J11124210-7658400	CHXR 54	M1	3705	0.34	0.41	
184	J11124268-7722230	T54	G8	5520	0.6	4.2	
185	J11124299-7637049	CHXR 55	K4.5	4470	0.31	0.61	
186	J11124861-7647066	Hn 17	M4	3270	0.09	0.053	
187	J11132012-7701044	CHXR 57	M2.75	3451	0.11	0.18	
188	J11132446-7629227	Hn 18	M3.5	3342	0.14	0.073	
