	2MASS	Other_Names	Spectral_Type	T_eff	A_J	L_bol	Membership	EW_Halpha	Basis of Selection	Night
0	J04034997+2620382	XEST 06-006	M5.25	3091.0	0.0	0.012	NaK, mu	9 +or- 0.5	X-ray	11
1	J04144739+2803055	XEST 20-066	M5.25	3091.0	0.0	0.12	NaK, mu	8.5 +or- 0.5	X-ray	21
2	J04145234+2805598	XEST 20-071	M3.25	3379.0	0.78	0.84	A_V, NaK, mu	7.5 +or- 0.5	X-ray	17
3	J04153916+2818586		M3.75	3306.0	0.56	0.27	ex, NaK, A_V	14 +or- 1	IR	7
4	J04154278+2909597	IRAS 04125+2902	M1.25	3669.0	0.56	0.28	A_V, ex, mu	2.3 +or- 0.3	IR	45
5	J04155799+2746175		M5.5	3058.0	0.0	0.049	NaK, e, ex	39 +or- 1	IR	19
6	J04181078+2519574	V409 Tau, IRAS 04151+2512	M1.5	3632.0	1.3	0.53	Li, ex, e, mu	10 +or- 1	IR	14
7	J04193545+2827218	FR Tau, Haro6-4, XEST 23-076, XEST 24-063	M5.25	3091.0	0.0	0.1	e, ex, NaK, mu	67 +or- 5	IR	6
8	J04194657+2712552	[GKH94] 41	M7.5 +or- 1.5	2795.0	7.6	0.24	A_V, ex, H_2O		IR	48
9	J04201611+2821325		M6.5	2935.0	0.0	0.0072	e, ex, NaK	1.0 +or- 30	IR	1
10	J04202144+2813491		M1 +or- 2	3705.0			A_V, e, ex	>100	IR	50
11	J04202583+2819237	IRAS 04173+2812	mid-M				e, ex		IR	9
12	J04202606+2804089		M3.5	3342.0	0.0	0.15	ex, NaK	5 +or- 0.3	IR	4
13	J04203918+2717317^f	XEST 16-045	M4.5	3198.0	0.0	0.16	NaK, mu	8 +or- 0.5	X-ray	21
14	J04210934+2750368		M5.25	3091.0	0.0	0.079	ex, NaK	20 +or- 2	IR	6
15	J04214013+2814224	XEST 21-026	M5.75	3024.0	0.0	0.04	NaK, mu	7 +or- 0.5	X-ray	21
16	J04221568+2657060^f	XEST 11-078, IRAS 04192+2650	M1	3705.0	0.28		A_V, e, ex, mu	14 +or- 1	X-ray	21
17	J04222404+2646258^f	XEST 11-087	M4.75	3161.0	0.31	0.12	A_V, NaK	7.5 +or- 1	X-ray	20
18	J04233539+2503026	FU Tau A	M7.25	2838.0	0.56	0.19	ex, H_2O, NaK, e, mu	93 +or- 7	IR	30, 32
19	J04233573+2502596	FU Tau B	M9.25	2350.0	0.0	0.0025	NaK, ex, e	~70	IR	33
20	J04293209+2430597^g		?				ex		IR	9
21	J04315968+1821305	LkHa 267	M1.5 +or- 0.5	3632.0	1.4	0.14	A_V, e, ex		IR	49
22	J04322415+2251083		M4.5	3198.0	0.49	0.09	A_V, NaK, ex	14 +or- 1	IR	18
23	J04324938+2253082		M4.25	3234.0	0.87	0.21	A_V, ex, NaK	18.5 +or- 1	IR	22
24	J04325119+1730092	LH 0429+17	M8.25	2632.0	0.0	0.0033	H_2O, NaK, mu	17 +or- 10	classify	30,33
25	J04332621+2245293	XEST 17-036	M4	3270.0	1.1	0.14	NaK, A_V	6 +or- 1	X-ray	31
26	J04333905+2227207		M1.75	3596.0	0.35		A_V, e, ex	23 +or- 1	IR	17
27	J04334171+1750402		M4 +or- 0.5	3270.0	0.08	0.08800000000000001	A_V, ex, H_2O		IR	49
28	J04334465+2615005		M4.75	3161.0	0.85	0.12	e, ex, NaK, A_V	55 +or- 7	IR	3
29	J04335252+2256269^f	XEST 17-059	M5.75	3024.0	0.0	0.19	NaK, mu	17 +or- 1	X-ray	21
30	J04345693+2258358^f	XEST 08-003	M1.5	3632.0	0.54	0.34	Li, mu	2 +or- 0.2	X-ray	13
31	J04354203+2252226^f	XEST 08-033, XEST 09-023	M4.75	3161.0	0.49	0.12	A_V, NaK, mu	14 +or- 1	X-ray	20
32	J04354733+2250216	HQ Tau, IRAS 04327+2244, XEST 09-026,	K2 +or- 2	4900.0	1.2	4.6	Li, ex, mu	2 +or- 0.4	IR	10
33		XEST 08-037								
34	J04355209+2255039^f	XEST 08-047	M4.5	3198.0	0.56	0.13	A_V, NaK, mu	6 +or- 0.5	X-ray	21
35	J04355286+2250585^f	XEST 08-049, XEST 09-033	M4.25	3234.0	0.35	0.14	NaK, e, mu	25.5 +or- 1	X-ray	27
36	J04355892+2238353^f	XEST 09-042	M0	3850.0	0.11	0.71	Li, mu	1.4 +or- 0.1	X-ray	16
37	J04373705+2331080		L0 +or- 0.5	2200.0	0.0	0.0003	NaK	>50	IR	42
38	J04414565+2301580		M4.5 +or- 0.5	3198.0	0.11	0.14	H_2O		comp	30
39	J04455134+1555367	IRAS 04429+1550	M2.5 +or- 0.5	3488.0	0.42	0.32	Li, A_V, ex		IR	49
40	J04554820+3030160	XEST 26-052	M4.5	3198.0	0.0	0.045	NaK, mu	6 +or- 0.5	X-ray	17
41	J04555605+3036209^f	JH433, XEST 26-062	M4	3270.0	0.53	0.28	Li, e, ex	17 +or- 2	X-ray	24
42	J04560118+3026348	XEST 26-071	M3.5 +or- 0.5	3342.0	0.39	0.11	A_V, ex, mu		IR	49
