Name,OtherNames,SpType,r_SpType,Adopt,3.6mag,e_3.6mag,f_3.6mag,4.5mag,e_4.5mag,f_4.5mag,5.8mag,e_5.8mag,f_5.8mag,8.0mag,e_8.0mag,f_8.0mag,24mag,e_24mag,f_24mag,W1mag,e_W1mag,f_W1mag,W2mag,e_W2mag,f_W2mag,W3mag,e_W3mag,f_W3mag,W4mag,e_W4mag,f_W4mag,Exc4.5,Exc8.0,Exc24,ExcW2,ExcW3,ExcW4,DiskType
2MASS J15321033-2158004,"HD 138343,HIP 76071",B9V,1,B9V,,,out,7.05,0.02,,,,out,7.12,0.03,,7.09,0.04,,7.02,0.03,,7.06,0.02,,7.09,0.02,,7.13,0.11,,N,N,N,N,N,N,
2MASS J15350863-2532397,,M5.5,2,M5.5,,,out,,,out,,,out,,,out,,,out,13.37,0.03,,13.14,0.03,,,,false,,,nodet,,,,N,,,
2MASS J15351610-2544030,"HD 138813,HIP 76310",A0V,1,A0V,,,out,7.15,0.02,,,,out,7.16,0.03,,4.08,0.04,,7.14,0.03,,7.18,0.02,,6.72,0.02,,4.23,0.02,,N,N,Y,N,Y,Y,debris/ev trans
2MASS J15354856-2958551,RX J1535.8-2958,M4,3,M4,,,out,,,out,,,out,,,out,,,out,9.18,0.02,,8.84,0.02,,7.09,0.02,,5.15,0.03,,,,,Y,Y,Y,full
2MASS J15355111-2021008,,M8,2,M8,,,out,,,out,,,out,,,out,,,out,13.45,0.03,,13.08,0.04,,,,nodet,,,nodet,,,,N,,,
2MASS J15355780-2324046,,K3,4,K3,,,out,9.33,0.02,,,,out,9.27,0.03,,9.31,0.09,,9.32,0.02,,9.29,0.02,,9.19,0.04,,,,false,N,N,N,N,N,,
2MASS J15372849-2616474,"HD 139160,HIP 76503",B9IV,1,B9IV,,,out,,,out,,,out,,,out,6.33,0.04,,6.14,0.04,,6.19,0.02,,6.31,0.02,,6.26,0.06,,,,N,N,N,N,
2MASS J15390006-1943569,"HD 139486,HIP 76633",B9V,1,B9V,,,out,7.52,0.02,,,,out,7.52,0.03,,7.14,0.04,,7.48,0.03,,7.51,0.02,,7.47,0.02,,7.52,0.14,,N,N,Y,N,N,N,debris/ev trans
2MASS J15390187-2956307,RX J1539.0-2956,K4,3,K4,,,out,,,out,,,out,,,out,,,out,9.4,0.02,,9.35,0.02,,9.11,0.04,,,,false,,,,N,N,,
2MASS J15392602-2958462,RX J1539.4-2958,M2,3,M2,,,out,,,out,,,out,,,out,,,out,10.11,0.02,,9.97,0.02,,9.84,0.06,,,,nodet,,,,N,N,,
2MASS J15410679-2656263,RX J1541.1-2656,"G7,K1V","4,5",G9,8.79,0.02,,8.86,0.02,,,,out,8.86,0.03,,8.6,0.05,,8.81,0.02,,8.84,0.02,,8.76,0.03,,,,nodet,N,N,N,N,N,,
2MASS J15411302-2308161,,M5.75,2,M5.75,,,out,,,out,,,out,,,out,,,out,13.64,0.03,,13.37,0.04,,,,false,,,nodet,,,,N,,,
2MASS J15413121-2520363,,G9IVe,5,G9IVe,,,out,7.18,0.02,,,,out,7.19,0.03,,7.06,0.04,,7.15,0.03,,7.15,0.02,,7.08,0.02,,7.06,0.09,,N,N,N,N,N,N,
2MASS J15423609-2108428,,M7,2,M7,,,out,,,out,,,out,,,out,,,out,13.05,0.03,,12.84,0.03,,,,nodet,,,nodet,,,,N,,,
2MASS J15441334-2522590,,M1,4,M1,,,out,8.91,0.02,,,,out,8.83,0.03,,8.73,0.06,,8.9,0.02,,8.89,0.02,,8.78,0.03,,,,false,N,N,N,N,N,,
2MASS J15453662-2510493,,M6,2,M6,,,out,,,out,,,out,,,out,,,out,12.79,0.03,bl,12.19,0.03,bl,10.61,0.1,,,,false,,,,Y,Y,,full
2MASS J15460529-2920531,RX J1546.0-2920,M0,3,M0,,,out,,,out,,,out,,,out,,,out,9.38,0.02,,9.35,0.02,,9.17,0.04,,,,false,,,,N,N,,
2MASS J15470494-2137403,,M4,6,M4,,,out,,,out,,,out,,,out,,,out,11.61,0.03,,11.41,0.03,,11.13,0.14,,,,nodet,,,,N,N,,
2MASS J15472282-2139141,,"L0,M7.5","7,2",M7.5,13.37,0.03,,13.03,0.03,,,,out,,,out,,,out,13.69,0.03,,13.07,0.04,,,,false,,,nodet,Y,,,Y,,,full
2MASS J15480057-1815003,,M6.5,2,M6.5,,,out,,,out,,,out,,,out,,,out,13.44,0.03,,12.85,0.03,,11.16,0.17,,,,nodet,,,,Y,Y,,full
2MASS J15480291-2908369,RX J1548.0-2908,"G9,G9IV","3,5",G9,,,out,8.59,0.02,,,,out,8.56,0.03,,8.43,0.06,,8.57,0.02,,8.59,0.02,,8.52,0.03,,,,false,N,N,N,N,N,,
2MASS J15485212-2929002,"HD 141190,HIP 77457",A7IV,8,A7IV,,,out,7.26,0.02,,,,out,7.31,0.03,,7.3,0.04,,7.26,0.03,,7.28,0.02,,7.28,0.02,,7.28,0.13,,N,N,N,N,N,N,
2MASS J15490414-2120150,,M6,6,M6,,,out,,,out,,,out,,,out,,,out,12.63,0.03,,12.37,0.03,,11.76,0.28,,,,nodet,,,,N,,,
2MASS J15492100-2600062,RX J1549.3-2600,"K0,K1IVe","3,5",K0.5,7.83,0.02,,7.92,0.02,,7.83,0.03,,7.82,0.03,,7.81,0.1,,7.86,0.03,,7.86,0.02,,7.69,0.04,,,,false,N,N,N,N,N,,
2MASS J15492260-2146574,,M3.5,6,M3.5,,,out,,,out,,,out,,,out,,,out,10.97,0.03,,10.8,0.02,,10.74,0.11,,,,nodet,,,,N,N,,
2MASS J15493784-2514102,,M6.5,2,M6.5,,,out,,,out,,,out,,,out,,,out,13.6,0.03,bl,13.29,0.04,bl,,,nodet,,,nodet,,,,N,,,
2MASS J15495069-2233511,,M6.5,2,M6.5,,,out,,,out,,,out,,,out,,,out,12.43,0.03,,12.1,0.03,,,,false,,,nodet,,,,N,,,
2MASS J15495733-2201256,,M6,6,M6,,,out,,,out,,,out,,,out,,,out,12.15,0.03,,11.89,0.02,,,,false,,,nodet,,,,N,,,
2MASS J15495979-2509033,"HD 141441,HIP 77545",A2/A3V,1,A2V,,,out,7.85,0.02,,,,out,7.85,0.03,,7.16,0.05,,7.83,0.02,,7.86,0.02,,7.7,0.03,,6.9,0.13,ext,N,N,Y,N,N,,debris/ev trans
2MASS J15500499-2311537,RX J1550.0-2312,M2,3,M2,,,out,8.65,0.02,,,,out,8.62,0.03,,8.58,0.05,,8.79,0.02,,8.66,0.02,,8.51,0.03,,7.96,0.23,,N,N,N,N,N,N,
