Name,OtherNames,SpType,r_SpType,Adopt,3.6mag,e_3.6mag,f_3.6mag,4.5mag,e_4.5mag,f_4.5mag,5.8mag,e_5.8mag,f_5.8mag,8.0mag,e_8.0mag,f_8.0mag,24mag,e_24mag,f_24mag,W1mag,e_W1mag,f_W1mag,W2mag,e_W2mag,f_W2mag,W3mag,e_W3mag,f_W3mag,W4mag,e_W4mag,f_W4mag,Exc4.5,Exc8.0,Exc24,ExcW2,ExcW3,ExcW4,DiskType,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,OTYPE,SP_TYPE,SP_QUAL,SP_NATURE,SP_BIBCODE,INPUT
2MASS J15321033-2158004,"HD 138343,HIP 76071",B9V,1,B9V,,,out,7.05,0.02,,,,out,7.12,0.03,,7.09,0.04,,7.02,0.03,,7.06,0.02,,7.09,0.02,,7.13,0.11,,N,N,N,N,N,N,,HD 138343,15 32 10.3328,-21 58 00.560,9.0,9.0,7.730000019073486,5.340000152587891,90.0,A,O,2007A&A...474..653V,Star,B9V,C,,1988MSS...C04....0H,2MASS J15321033-2158004
2MASS J15350863-2532397,,M5.5,2,M5.5,,,out,,,out,,,out,,,out,,,out,13.37,0.03,,13.14,0.03,,,,false,,,nodet,,,,N,,,,2MASS J15350863-2532397,15 35 08.640,-25 32 39.73,7.0,7.0,60.0,60.0,45.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J15350863-2532397
2MASS J15351610-2544030,"HD 138813,HIP 76310",A0V,1,A0V,,,out,7.15,0.02,,,,out,7.16,0.03,,4.08,0.04,,7.14,0.03,,7.18,0.02,,6.72,0.02,,4.23,0.02,,N,N,Y,N,Y,Y,debris/ev trans,HD 138813,15 35 16.1054,-25 44 03.006,9.0,9.0,5.360000133514404,4.46999979019165,90.0,A,O,2007A&A...474..653V,Star,A0V,C,,1988MSS...C04....0H,2MASS J15351610-2544030
2MASS J15354856-2958551,RX J1535.8-2958,M4,3,M4,,,out,,,out,,,out,,,out,,,out,9.18,0.02,,8.84,0.02,,7.09,0.02,,5.15,0.03,,,,,Y,Y,Y,full,2MASS J15354856-2958551,15 35 48.565,-29 58 55.18,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,**,M4,D,,2000A&A...356..541K,2MASS J15354856-2958551
2MASS J15355111-2021008,,M8,2,M8,,,out,,,out,,,out,,,out,,,out,13.45,0.03,,13.08,0.04,,,,nodet,,,nodet,,,,N,,,,2MASS J15355111-2021008,15 35 51.116,-20 21 00.81,7.0,7.0,60.0,60.0,17.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J15355111-2021008
2MASS J15355780-2324046,,K3,4,K3,,,out,9.33,0.02,,,,out,9.27,0.03,,9.31,0.09,,9.32,0.02,,9.29,0.02,,9.19,0.04,,,,false,N,N,N,N,N,,,2MASS J15355780-2324046,15 35 57.801,-23 24 04.60,7.0,7.0,,,0.0,B,I,2003yCat.2246....0C,TTau*,K3,D,,,2MASS J15355780-2324046
2MASS J15372849-2616474,"HD 139160,HIP 76503",B9IV,1,B9IV,,,out,,,out,,,out,,,out,6.33,0.04,,6.14,0.04,,6.19,0.02,,6.31,0.02,,6.26,0.06,,,,N,N,N,N,,HR  5801,15 37 28.4995,-26 16 47.513,9.0,9.0,3.430000066757202,3.069999933242798,90.0,A,O,2007A&A...474..653V,SB*,B9IV,C,,1988MSS...C04....0H,2MASS J15372849-2616474
2MASS J15390006-1943569,"HD 139486,HIP 76633",B9V,1,B9V,,,out,7.52,0.02,,,,out,7.52,0.03,,7.14,0.04,,7.48,0.03,,7.51,0.02,,7.47,0.02,,7.52,0.14,,N,N,Y,N,N,N,debris/ev trans,HD 139486,15 39 00.0567,-19 43 57.209,9.0,9.0,10.359999656677246,8.149999618530273,90.0,A,O,2007A&A...474..653V,Star,B9V,C,,1988MSS...C04....0H,2MASS J15390006-1943569
2MASS J15390187-2956307,RX J1539.0-2956,K4,3,K4,,,out,,,out,,,out,,,out,,,out,9.4,0.02,,9.35,0.02,,9.11,0.04,,,,false,,,,N,N,,,RX J1539.0-2956,15 39 01.871,-29 56 30.75,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,Star,K4,D,,2000A&A...356..541K,2MASS J15390187-2956307
2MASS J15392602-2958462,RX J1539.4-2958,M2,3,M2,,,out,,,out,,,out,,,out,,,out,10.11,0.02,,9.97,0.02,,9.84,0.06,,,,nodet,,,,N,N,,,2MASS J15392602-2958462,15 39 26.026,-29 58 46.21,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,YSO,M2,D,,2000A&A...356..541K,2MASS J15392602-2958462
2MASS J15410679-2656263,RX J1541.1-2656,"G7,K1V","4,5",G9,8.79,0.02,,8.86,0.02,,,,out,8.86,0.03,,8.6,0.05,,8.81,0.02,,8.84,0.02,,8.76,0.03,,,,nodet,N,N,N,N,N,,,CD-26 10981,15 41 06.781,-26 56 26.25,7.0,7.0,76.0,59.0,0.0,A,,2000A&A...355L..27H,RotV*,K1V,C,,2006A&A...460..695T,2MASS J15410679-2656263
2MASS J15411302-2308161,,M5.75,2,M5.75,,,out,,,out,,,out,,,out,,,out,13.64,0.03,,13.37,0.04,,,,false,,,nodet,,,,N,,,,2MASS J15411302-2308161,15 41 13.027,-23 08 16.20,7.0,7.0,60.0,60.0,45.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J15411302-2308161
2MASS J15413121-2520363,,G9IVe,5,G9IVe,,,out,7.18,0.02,,,,out,7.19,0.03,,7.06,0.04,,7.15,0.03,,7.15,0.02,,7.08,0.02,,7.06,0.09,,N,N,N,N,N,N,,2MASS J15413121-2520363,15 41 31.2094,-25 20 36.352,8.0,8.0,57.52000045776367,27.1299991607666,90.0,B,,1998A&A...335L..65H,pMS*,G9IVe,C,,2006A&A...460..695T,2MASS J15413121-2520363
2MASS J15423609-2108428,,M7,2,M7,,,out,,,out,,,out,,,out,,,out,13.05,0.03,,12.84,0.03,,,,nodet,,,nodet,,,,N,,,,2MASS J15423609-2108428,15 42 36.091,-21 08 42.89,7.0,7.0,60.0,60.0,0.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J15423609-2108428
2MASS J15441334-2522590,,M1,4,M1,,,out,8.91,0.02,,,,out,8.83,0.03,,8.73,0.06,,8.9,0.02,,8.89,0.02,,8.78,0.03,,,,false,N,N,N,N,N,,,2MASS J15441334-2522590,15 44 13.344,-25 22 59.10,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M1,D,,,2MASS J15441334-2522590
2MASS J15453662-2510493,,M6,2,M6,,,out,,,out,,,out,,,out,,,out,12.79,0.03,bl,12.19,0.03,bl,10.61,0.1,,,,false,,,,Y,Y,,full,2MASS J15453662-2510493,15 45 36.630,-25 10 49.39,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J15453662-2510493
2MASS J15460529-2920531,RX J1546.0-2920,M0,3,M0,,,out,,,out,,,out,,,out,,,out,9.38,0.02,,9.35,0.02,,9.17,0.04,,,,false,,,,N,N,,,2MASS J15460529-2920531,15 46 05.294,-29 20 53.11,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,TTau*,M0,D,,2000A&A...356..541K,2MASS J15460529-2920531
2MASS J15470494-2137403,,M4,6,M4,,,out,,,out,,,out,,,out,,,out,11.61,0.03,,11.41,0.03,,11.13,0.14,,,,nodet,,,,N,N,,,2MASS J15470494-2137403,15 47 04.943,-21 37 40.38,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J15470494-2137403
2MASS J15472282-2139141,,"L0,M7.5","7,2",M7.5,13.37,0.03,,13.03,0.03,,,,out,,,out,,,out,13.69,0.03,,13.07,0.04,,,,false,,,nodet,Y,,,Y,,,full,2MASS J15472282-2139141,15 47 22.82,-21 39 14.2,6.0,6.0,80.0,80.0,90.0,B,I,2003yCat.2246....0C,brownD*,L0,,,2008MNRAS.383.1385L,2MASS J15472282-2139141
2MASS J15480057-1815003,,M6.5,2,M6.5,,,out,,,out,,,out,,,out,,,out,13.44,0.03,,12.85,0.03,,11.16,0.17,,,,nodet,,,,Y,Y,,full,2MASS J15480057-1815003,15 48 00.577,-18 15 00.36,7.0,7.0,70.0,60.0,4.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J15480057-1815003
2MASS J15480291-2908369,RX J1548.0-2908,"G9,G9IV","3,5",G9,,,out,8.59,0.02,,,,out,8.56,0.03,,8.43,0.06,,8.57,0.02,,8.59,0.02,,8.52,0.03,,,,false,N,N,N,N,N,,,CD-28 11578,15 48 02.9151,-29 08 37.038,8.0,8.0,47.52000045776367,46.88999938964844,90.0,B,,1998A&A...335L..65H,RotV*,G9IV,C,,2006A&A...460..695T,2MASS J15480291-2908369
2MASS J15485212-2929002,"HD 141190,HIP 77457",A7IV,8,A7IV,,,out,7.26,0.02,,,,out,7.31,0.03,,7.3,0.04,,7.26,0.03,,7.28,0.02,,7.28,0.02,,7.28,0.13,,N,N,N,N,N,N,,HD 141190,15 48 52.1276,-29 29 00.398,9.0,9.0,8.0,7.449999809265137,90.0,A,O,2007A&A...474..653V,Star,A7IV,C,,,2MASS J15485212-2929002
2MASS J15490414-2120150,,M6,6,M6,,,out,,,out,,,out,,,out,,,out,12.63,0.03,,12.37,0.03,,11.76,0.28,,,,nodet,,,,N,,,,2MASS J15490414-2120150,15 49 04.148,-21 20 15.08,7.0,7.0,60.0,60.0,0.0,B,N,2003yCat.2246....0C,Candidate_YSO,,,,,2MASS J15490414-2120150
2MASS J15492100-2600062,RX J1549.3-2600,"K0,K1IVe","3,5",K0.5,7.83,0.02,,7.92,0.02,,7.83,0.03,,7.82,0.03,,7.81,0.1,,7.86,0.03,,7.86,0.02,,7.69,0.04,,,,false,N,N,N,N,N,,,CD-25 11113,15 49 21.004,-26 00 06.26,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,TTau*,K1IVe,C,,2006A&A...460..695T,2MASS J15492100-2600062
2MASS J15492260-2146574,,M3.5,6,M3.5,,,out,,,out,,,out,,,out,,,out,10.97,0.03,,10.8,0.02,,10.74,0.11,,,,nodet,,,,N,N,,,2MASS J15492260-2146574,15 49 22.600,-21 46 57.46,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J15492260-2146574
2MASS J15493784-2514102,,M6.5,2,M6.5,,,out,,,out,,,out,,,out,,,out,13.6,0.03,bl,13.29,0.04,bl,,,nodet,,,nodet,,,,N,,,,2MASS J15493784-2514102,15 49 37.840,-25 14 10.24,7.0,7.0,60.0,60.0,17.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J15493784-2514102
2MASS J15495069-2233511,,M6.5,2,M6.5,,,out,,,out,,,out,,,out,,,out,12.43,0.03,,12.1,0.03,,,,false,,,nodet,,,,N,,,,2MASS J15495069-2233511,15 49 50.690,-22 33 51.19,7.0,7.0,60.0,60.0,17.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J15495069-2233511
2MASS J15495733-2201256,,M6,6,M6,,,out,,,out,,,out,,,out,,,out,12.15,0.03,,11.89,0.02,,,,false,,,nodet,,,,N,,,,2MASS J15495733-2201256,15 49 57.337,-22 01 25.65,7.0,7.0,60.0,60.0,0.0,B,N,2003yCat.2246....0C,Candidate_YSO,,,,,2MASS J15495733-2201256
2MASS J15495979-2509033,"HD 141441,HIP 77545",A2/A3V,1,A2V,,,out,7.85,0.02,,,,out,7.85,0.03,,7.16,0.05,,7.83,0.02,,7.86,0.02,,7.7,0.03,,6.9,0.13,ext,N,N,Y,N,N,,debris/ev trans,HD 141441,15 49 59.7856,-25 09 03.559,9.0,9.0,13.279999732971191,11.760000228881836,90.0,A,O,2007A&A...474..653V,Star,A2/A3V,C,,1988MSS...C04....0H,2MASS J15495979-2509033
2MASS J15500499-2311537,RX J1550.0-2312,M2,3,M2,,,out,8.65,0.02,,,,out,8.62,0.03,,8.58,0.05,,8.79,0.02,,8.66,0.02,,8.51,0.03,,7.96,0.23,,N,N,N,N,N,N,,2MASS J15500499-2311537,15 50 04.992,-23 11 53.72,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,Star,M2,,,2008ApJ...679..762K,2MASS J15500499-2311537
2MASS J15501958-2805237,,M5.5,2,M5.5,,,out,,,out,,,out,,,out,,,out,13.28,0.03,,12.72,0.03,,11.14,0.14,,,,nodet,,,,Y,Y,,full,2MASS J15501958-2805237,15 50 19.585,-28 05 23.73,7.0,7.0,60.0,60.0,17.0,B,N,2003yCat.2246....0C,brownD*,M6.7,D,,2014MNRAS.442.1586D,2MASS J15501958-2805237
2MASS J15505641-2534189,HD 141618,"F9,G1","3,1",G0,,,out,7.87,0.02,,,,out,7.87,0.03,,7.88,0.04,,7.86,0.03,,7.87,0.02,,7.86,0.02,,7.82,0.17,,N,N,N,N,N,N,,HD 141618,15 50 56.4161,-25 34 18.993,8.0,8.0,31.56999969482422,27.860000610351562,0.0,B,,1998A&A...335L..65H,Star,G1,D,,1988MSS...C04....0H,2MASS J15505641-2534189
2MASS J15505874-2545046,"HD 141637,HIP 77635,1 Sco",B1.5Vn,1,B1.5Vn,,,out,4.84,0.02,,,,out,4.94,0.03,,4.9,0.04,,4.79,0.09,,,,err,4.9,0.02,,4.81,0.05,,N,N,N,,N,N,,* b Sco,15 50 58.7445,-25 45 04.664,9.0,9.0,2.9000000953674316,2.2799999713897705,90.0,A,O,2007A&A...474..653V,Star,B1.5Vn,E,,1988MSS...C04....0H,2MASS J15505874-2545046
2MASS J15510660-2402190,RX J1551.1-2402,M2,3,M2,,,out,9.57,0.02,,,,out,9.53,0.03,,9.11,0.06,,9.64,0.02,,9.56,0.02,,9.49,0.04,,,,nodet,N,N,N,N,N,,,2MASS J15510660-2402190,15 51 06.608,-24 02 19.03,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,RotV*,M2,,,2008ApJ...679..762K,2MASS J15510660-2402190
2MASS J15511870-2145235,,M4,6,M4,,,out,,,out,,,out,,,out,,,out,11.06,0.02,,10.86,0.02,,10.87,0.12,,,,nodet,,,,N,N,,,2MASS J15511870-2145235,15 51 18.705,-21 45 23.53,7.0,7.0,70.0,60.0,0.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J15511870-2145235
2MASS J15512865-2927402,,M5.5,2,M5.5,,,out,,,out,,,out,,,out,,,out,13.33,0.03,,13.08,0.04,,,,false,,,nodet,,,,N,,,,2MASS J15512865-2927402,15 51 28.659,-29 27 40.23,7.0,7.0,60.0,60.0,17.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J15512865-2927402
2MASS J15514032-2146103,,M4,6,M4,,,out,,,out,,,out,,,out,,,out,10.52,0.02,,10.05,0.02,,8.73,0.03,,7.41,0.14,,,,,Y,Y,Y,evolved,2MASS J15514032-2146103,15 51 40.321,-21 46 10.39,7.0,7.0,70.0,60.0,0.0,B,I,2003yCat.2246....0C,Star,,,,,2MASS J15514032-2146103
