Name	R.A. (J2000)	Decl. (J2000)	SpT
16126-2235	16 15 34.58	-22 42 37.86	
16156-2358AB	16 18 37.25	-24 05 18.19	F0
16168-2526	16 19 54.57	-25 33 34.14	
W-60	16 20 30.9	-23 10 41.06	
16178-2501	16 20 50.52	-25 07 59.25	
16181-2536	16 21 13.9	-25 43 05.73	
16184-2452	16 21 29.48	-24 59 31.67	
16186-2534	16 21 40.2	-25 41 59.99	
16193-2314	16 22 18.55	-23 21 45.36	G5
16201-2410	16 23 09.23	-24 17 04.69	G0
16212-2202	16 24 16.35	-22 09 29.5	
16220-2452AB	16 25 02.13	-24 59 31.85	M3
DOAR16	16 25 10.45	-23 19 11.96	
HD-147889	16 25 24.36	-24 27 56.52	B2
ROX2	16 25 24.37	-23 55 09.94	M0
IRS2AB	16 25 36.75	-24 15 42.12	K3.5
16225-2607AB	16 25 38.48	-26 13 53.99	
IRS3AB	16 25 39.6	-24 26 34.67	M2
ROX3	16 25 49.65	-24 51 31.71	M0
IRS10	16 25 50.53	-24 39 14.31	K5.5
SR4	16 25 56.18	-24 20 48.22	K4.5
SKS14	16 26 01.4	-24 25 20.37	M0
DOAR21	16 26 03.05	-24 23 36.06	K0
GSS26	16 26 10.35	-24 20 54.68	K7
GSS29AB	16 26 16.87	-24 22 23.04	M1
DOAR24	16 26 17.09	-24 20 21.41	K5
CRBR12	16 26 17.21	-24 23 47.7	M2
SKS110	16 26 18.85	-24 26 10.38	M5.5
VSSG1	16 26 18.89	-24 28 19.59	M0
CRBR15	16 26 19.01	-24 24 14.14	M5
GSS30	16 26 21.41	-24 23 04.07	
GY5	16 26 21.55	-24 26 00.86	M5.5
GY12	16 26 22.41	-24 22 52.86	M0
DOAR25	16 26 22.87	-24 43 10.77	K5
GY15	16 26 22.98	-24 28 46.08	M6
GSS31AB	16 26 23.38	-24 20 59.69	G6
LFAM3	16 26 23.6	-24 24 39.41	M0
S2	16 26 24.06	-24 24 48.08	M0
GY29	16 26 25.3	-24 24 44.86	M5
VLA-1623	16 26 26.4	-24 24 30.00	
LFAM8	16 26 29.69	-24 19 05.33	M1.5
VSSG27	16 26 30.5	-24 22 57.12	
VSSG4	16 26 37.81	-24 23 00.56	M0
GY91	16 26 40.5	-24 27 14.37	M4
WSB37	16 26 41.28	-24 40 17.84	M5
WL8	16 26 42.04	-24 33 26.16	
WL7	16 26 42.16	-24 31 02.79	
GSS37AB	16 26 42.87	-24 20 29.76	M0
GY109	16 26 42.91	-24 22 59.03	M6
VSSG11	16 26 43.77	-24 16 33.05	
WL12	16 26 44.21	-24 34 48.27	K7
GSS39	16 26 45.05	-24 23 07.72	M0
