ID	RA	DEC	ins	A_V_phot	A_V	T_eff	SpT	Ref	Name
1	16 26 03.28	-24 30 25.8	F	8.4	10	2650			SONYC-RhoOph-7
2	16 27 05.93	-24 18 40.2	F	7.8	8	2700			SONYC-RhoOph-6
3	16 27 38.63	-24 38 39.2	F	6.6	8	2750	M8.5, M7, M6	1 2 3	GY310
4	16 26 22.27	-24 24 07.1	F	9.7	8	2750	M6.5, M8.5	1 3	GY11
4	16 26 22.27	-24 24 07.1	S	9.7	12	2800	M6.5, M8.5	1 3	GY11
5	16 26 18.82	-24 26 10.5	F	9.4	10	2850	M7.5, M5.5, M7	1 2 3	CRBR 14; ISO-Oph-23
6	16 26 18.98	-24 24 14.3	F	17.6	16	2850	M5	1 2	CRBR 15
7	16 26 22.96	-24 28 46.1	F	13.2	14	2900			SONYC-RhoOph-5
8	16 26 51.28	-24 32 42.0	F	2.3	2	2900	M8, M8.5	5 4	GY141
9	16 26 53.35	-24 40 02.3	F	12.4	13	3000			SONYC-RhoOph-3
10	16 26 22.19	-24 23 52.4	F	13.8	14	3100	M8.5, M6.5	1 2	GY10
11	16 26 27.81	-24 26 41.8	F	6.4	6	3200	M5, M6	6 1	GY37
11	16 26 27.81	-24 26 41.8	S	6.4	6	3100	M5, M6	6 1	GY37
12	16 26 18.14	-24 30 33.0	F	14.7	13	3200			SONYC-RhoOph-4
13	16 27 46.29	-24 31 41.2	F	8.3	9	3200	M6	3	GY350
14	16 27 40.84	-24 29 00.7	S	3.1	3	2550	M8.25	7	CFHTWIR-Oph96
15	16 26 18.58	-24 29 51.4	S	15.0	18	2600			SONYC-RhoOph-8, CFHTWIR-Oph16
16	16 27 26.58	-24 25 54.4	S	0.9	2	2650	M8	6	GY264
17	16 27 26.22	-24 19 23.0	S	13.6	15	2800			SONYC-RhoOph-10; CFHTWIR-Oph78
18	16 26 37.81	-24 39 03.2	S	6.2	6	3100			SONYC-RhoOph-9; CFHTWIR-Oph31
19	16 27 06.60	-24 41 48.8	S	3.7	6	3150	M5.5, M6	6 3	GY204
20	16 26 23.81	-24 18 29.0	S	8.2	10	3200	M6.7, M7	5 8	CRBR 31
