ID,alpha(J2000),delta(J2000),i,J,K,Av_phot,SpT,Av_spec,mu_alphacos delta,mu_delta,mu -,EW(Halpha),Membership,Comments
S-1,16:07:08.55,-39:14:07.8,17.3,14.6,11.5,11.5,M 1.75,3.0,-4.2 +or- 5.2,-21.2 +or- 4.7,y,-77.6,Lupus 3,M08
S-2,16:07:33.82,-39:03:26.5,19.4,16.2,14.1,6.0,M 3.00,5.0,0.4 +or- 7.1,-16.3 +or- 5.9,y,-4.9,uncertain,
S-3,16:07:55.18,-39:06:04.0,16.2,13.5,11.4,5.9,M 5.75,2.0,-12.4 +or- 7.1,-22.8 +or- 5.9,y,-37.2,Lupus 3,"M6.5^d, C09, G06"
S-4,16:08:04.76,-39:04:49.6,17.0,13.9,12.4,2.9,M 6.50,1.0,-8.1 +or- 7.1,-22.6 +or- 5.9,y,-44.4,Lupus 3,"M7^d, C09"
S-5,16:08:16.03,-39:03:04.5,15.5,12.5,11.1,2.5,M 6.25,1.0,-9.3 +or- 7.1,-19.9 +or- 5.9,y,-37.5,Lupus 3,"Par-Lup3-1; M7.5^a, M5.5^b"
S-6,16:08:59.52,-38:56:20.8,19.1,17.4,16.7,0.0,M 4.75,0.0,-6.5 +or- 7.1,-19.4 +or- 5.9,y,-18.6,uncertain,
S-7,16:08:59.53,-38:56:27.8,17.1,13.9,12.7,1.3,M 8.00,0.5,-8.8 +or- 7.1,-19.6 +or- 5.9,y,-185.7,Lupus 3,"M8^c, G06"
S-8,16:10:18.13,-39:10:33.6,19.8,16.2,13.8,7.3,M 1.00,6.5,-16.2 +or- 5.3,-9.8 +or- 5.0,y,-4.6,uncertain,
S-9,16:11:26.34,-39:02:17.1,19.3,16.2,14.0,6.4,M 1.00,5.5,-14.6 +or- 5.3,-11.3 +or- 5.0,y,,uncertain,
S-10,16:09:13.43,-38:58:04.9,19.5,16.1,14.9,1.5,M 8.75,0.0,-13.8 +or- 7.1,-20.9 +or- 5.9,y,-48.8,Lupus 3,
S-11,16:12:05.91,-39:04:07.5,18.7,15.7,14.4,1.5,M 3.00,3.0,-24.7 +or- 5.3,-20.5 +or- 5.0,y,-5.4,uncertain,
S-12,16:11:18.47,-39:02:58.2,18.0,15.1,13.3,4.2,<M 1,,-6.1 +or- 5.3,-8.5 +or- 5.0,y,-12.1,Lupus 3,
S-13,16:07:36.48,-39:04:53.8,15.7,12.9,10.6,7.1,M 0.00,3.5,-3.4 +or- 7.1,1.1 +or- 5.9,n,,III^2,
S-14,16:08:01.42,-39:10:16.1,19.9,16.4,14.0,7.7,<M 1,,-8.4 +or- 7.1,-12.7 +or- 5.9,y,,uncertain,
S-15,16:07:52.46,-39:09:48.1,19.0,15.6,13.2,7.6,M 2.50,4.7,-29.8 +or- 7.1,-23.1 +or- 5.9,y,,V^3,
S-16,16:10:14.95,-39:10:16.2,19.9,16.4,14.3,5.7,M 4.50,4.7,5.9 +or- 5.3,24.0 +or- 5.0,n,,V,
S-17,16:11:56.11,-39:08:23.8,15.3,12.8,11.1,4.2,<M 1,,-0.3 +or- 5.3,11.1 +or- 5.0,n,,III,
S-18,16:11:09.03,-39:06:22.7,16.8,14.3,12.5,4.5,M 2.50,3.0,-11.4 +or- 5.3,-21.7 +or- 5.0,y,,V,
S-19,16:11:39.24,-39:06:32.8,15.4,12.5,10.4,6.0,M 0.50,3.0,-5.7 +or- 5.3,-5.4 +or- 5.0,y,,III,
S-20,16:11:36.20,-39:02:36.9,20.4,16.8,14.6,6.9,M 4.00,5.3,3.9 +or- 5.3,17.1 +or- 5.0,n,,V,
S-21,16:11:33.34,-38:59:44.3,19.9,16.5,14.3,4.9,M 3.00,4.5,7.8 +or- 5.3,1.1 +or- 5.0,n,,V,
S-22,16:10:47.49,-38:57:12.4,20.4,17.1,16.2,0.0,<M 1,,,,,,uncertain,
S-23,16:10:45.40,-38:54:54.9,16.1,14.3,12.9,2.1,<M 1,,-7.9 +or- 5.3,-1.9 +or- 5.0,n,,III,"M08, C09"
S-24,16:07:09.06,-39:01:07.6,19.8,18.1,16.6,2.8,M 1.50,1.5,7.4 +or- 5.2,3.6 +or- 4.7,n,,V,
S-25,16:12:04.96,-39:06:11.4,19.9,17.9,16.0,5.1,M 2.50,3.0,1.0 +or- 5.3,2.7 +or- 5.0,n,,V,
S-26,16:10:56.40,-39:04:31.7,19.1,17.3,15.7,3.4,M 5.0,2.5,35.4 +or- 5.3,0.9 +or- 5.0,n,,V,
S-27,16:11:15.08,-39:07:15.0,18.1,16.4,14.7,3.6,M 7.0,0.0,,,,,V,
