ID,alpha,delta,J,K,SpT,T_eff,Other Names
SONYC-Lup3-1,16 07 08.55,-39 14 07.8,14.6,11.5,M1.75^a,"3850^a, 4400^b",
SONYC-Lup3-3,16 07 55.18,-39 06 04.0,13.5,11.4,"M 5.75^a, M6.5^c","3050^a, 2900^b, 2950^c",
SONYC-Lup3-4,16 08 04.76,-39 04 49.6,13.9,12.4,"M 6.50^a, M7^c","3000^a, 2700^b, 2900^c",
SONYC-Lup3-5,16 08 16.03,-39 03 04.5,12.5,11.1,"M 6.25^a, M7.5^d,M5.5^g","2950^a, 2800^b",Par-Lup3-1
SONYC-Lup3-7,16 08 59.53,-38 56 27.8,13.9,12.7,"M 8.00^a, e, M8.5^h","2850^a, 2600^b, h",
SONYC-Lup3-10,16 09 13.43,-38 58 04.9,16.1,14.9,M 8.75^a,2650^a,
SONYC-Lup3-12,16 11 18.47,-39 02 58.2,15.1,13.3,<M 1^a,4200^a,
EX Lup,16 03 05.5,-40 18 26,9.7,8.5,M0^f,,"HD 325367, Th 14"
Sz-88,16 07 00.61,-39 02 19.9,9.9,8.6,"M1^f, M0^h",3850^h,Th 15
Sz-91,16 07 11.57,-39 03 47.2,11.1,9.8,"M0.5^f, M1^h",3705^h,Th 20
Sz-94,16 07 49.68,-39 04 28.6,11.4,10.6,"M4^f, M4.5^g",,
Sz-95,16 07 52.29,-38 58 05.6,11.0,10.0,M1.5^f,,
Sz-96,16 08 12.48,-39 08 33.0,10.1,9.0,"M1.5^f,M2^g",3560^g,
Sz-97,16 08 21.84,-39 04 21.4,11.2,10.2,"M3^f,M4.5^g, M4^h","3198^g, 3270^h",Th 24
Sz-98,16 08 22.44,-39 04 46.7,9.5,8.0,M0^f,,
Sz-99,16 08 24.00,-39 05 49.2,11.9,10.7,"M3.5^f,M4^g, h","3270^g, h",Th 25
Sz-100,16 08 25.76,-39 06 01.2,11.0,9.9,"M5^d, f, M4.5^g, M5.5^h","3198^g, 3057^h",Th 26
Sz-101,16 08 28.37,-39 05 32.3,10.4,9.4,"M4.5^g,M4^f",3198^g,Th 27
Sz-103,16 08 30.24,-39 06 10.8,11.4,10.2,"M4^f, h, M4.5^g","3198^g, 3270^h",Th 29
Sz-104,16 08 30.72,-39 05 48.5,11.7,10.7,"M5^f, h,M5.5^g","3058^g, 3125^h",Th 30
Sz-105,16 08 37.03,-40 16 20.8,9.0,7.6,M4^f,,Th 31
Sz-106,16 08 39.76,-39 06 25.3,11.7,10.1,"M0^f,M2.5^d, M0.5^h",3777^h,
Sz-107,16 08 41.76,-39 01 36.8,11.2,10.3,"M5.5^f, M6.5^g",2935^g,
