Name,R.A. (J2000.0),Decl. (J2000.0),Spectral Type,SpectralType Ref.,Parallax Ref.,JHKRef.,PhotSys,Parallax,Parallax_e,J,J_e,H,H_e,Ks,Ks_e,n1,n2,n3,n4,[3.6]-[4.5],[4.5]-[5.8],[5.8]-[8.0],Notes,[3.6],[3.6]_e,[4.5],[4.5]_e,[5.8],[5.8]_e,[8.0],[8.0]_e,SpT_num
GJ 1001A,00 04 36.4,-40 44 03,M3.5,1,,1,2MA,,,8.60 ,0.01,8.04 ,0.03,7.74 ,0.04,5,5,5,5,0.05,0.04,0.01,1,7.45 ,0.03,7.40 ,0.03,7.37 ,0.01,7.36 ,0.01,3.5
GJ 1093,06 59 28.9,+19 20 53,M5.0,2,1.0,1,2MA,0.12880 ,0.00350,9.16 ,0.02,8.55 ,0.02,8.23 ,0.02,4,5,5,5,0.02,0.09,0.02,1,7.86 ,0.03,7.84 ,0.02,7.76 ,0.01,7.74 ,0.01,5.0
GJ 1156,12 18 59.5,+11 07 33,M5.0,2,1.0,1,2MA,0.15290 ,0.00300,8.53 ,0.03,7.88 ,0.03,7.57 ,0.03,5,5,5,5,0.08,0.06,0.02,1,7.24 ,0.03,7.16 ,0.02,7.10 ,0.01,7.08 ,0.01,5.0
GJ 1002,00 06 43.4,-07 32 19,M5.5,2,1.0,1,2MA,0.21300 ,0.00360,8.32 ,0.02,7.79 ,0.03,7.44 ,0.02,5,5,5,5,0.05,0.04,0.02,2,7.07 ,0.01,7.01 ,0.01,6.97 ,0.02,6.95 ,0.01,5.5
LHS 288,10 44 21.3,-61 12 35,M5.5,3,1.0,1,2MA,0.22250 ,0.01130,8.49 ,0.01,8.05 ,0.04,7.73 ,0.02,5,5,5,5,0.06,-0.03,0.07,2,7.31 ,0.03,7.25 ,0.04,7.27 ,0.01,7.20 ,0.01,5.5
GJ 412B,11 05 30.3,+43 31 17,M5.5,2,2.0,1,2MA,0.20694 ,0.00119,8.74 ,0.03,8.18 ,0.02,7.84 ,0.03,5,5,5,5,0.08,0.06,0.05,2,7.38 ,0.01,7.29 ,0.05,7.23 ,0.02,7.18 ,0.00,5.5
GJ 1111,08 29 49.5,+26 46 32,M6.5,4,1.0,1,2MA,0.27580 ,0.00300,8.24 ,0.02,7.62 ,0.02,7.26 ,0.02,5,5,5,5,0.0,0.08,0.02,3,6.84 ,0.02,6.84 ,0.04,6.76 ,0.05,6.74 ,0.01,6.5
LHS 292,10 48 12.8,-11 20 11,M6.5,2,1.0,1,2MA,0.22030 ,0.00360,8.86 ,0.02,8.26 ,0.04,7.93 ,0.03,5,5,5,5,0.01,0.05,0.03,2,7.52 ,0.02,7.51 ,0.02,7.46 ,0.02,7.42 ,0.01,6.5
SO 0253+1652,02 53 00.5,+16 52 58,M7.0,5,3.0,1,2MA,0.26800 ,0.03700,8.39 ,0.03,7.88 ,0.04,7.59 ,0.05,3,5,5,5,0.02,0.04,0.03,2,7.12 ,0.01,7.10 ,0.02,7.05 ,0.01,7.02 ,0.01,7.0
LHS 3003,14 56 38.4,-28 09 48,M7.0,6,1.0,1,2MA,0.15630 ,0.00300,9.97 ,0.03,9.32 ,0.02,8.93 ,0.03,5,5,5,5,-0.02,0.1,0.03,"4, 5",8.47 ,0.02,8.49 ,0.01,8.39 ,0.02,8.36 ,0.01,7.0
GJ 644C,16 55 35.3,-08 23 40,M7.0,4,4.0,1,2MA,0.15542 ,0.00133,9.78 ,0.03,9.20 ,0.02,8.82 ,0.02,5,5,5,5,-0.01,0.11,0.03,"4, 5",8.37 ,0.02,8.38 ,0.01,8.28 ,0.02,8.24 ,0.02,7.0
LHS 132,01 02 51.2,-37 37 45,M8.0:,7,,1,2MA,,,11.13 ,0.02,10.48 ,0.02,10.07 ,0.02,5,5,5,4,0.02,0.1,0.04,"4, 5",9.64 ,0.02,9.62 ,0.02,9.52 ,0.02,9.48 ,0.01,8.0
LHS 2021,08 30 32.7,+09 47 14,M8.0,5,,1,2MA,,,11.89 ,0.02,11.17 ,0.02,10.76 ,0.02,5,5,5,5,-0.04,0.11,0.03,4,10.32 ,0.02,10.35 ,0.01,10.24 ,0.01,10.20 ,0.01,8.0
GJ 752B,19 16 57.7,+05 09 00,M8.0,4,5.0,1,2MA,0.17010 ,0.00080,9.91 ,0.03,9.23 ,0.03,8.77 ,0.02,5,5,5,5,-0.01,0.15,0.02,"4, 5",8.29 ,0.02,8.30 ,0.03,8.15 ,0.01,8.14 ,0.00,8.0
2MA 1835+3259,18 35 37.9,+32 59 54,M8.5,8,6.0,1,2MA,0.17650 ,0.00050,10.27 ,0.02,9.62 ,0.02,9.17 ,0.02,5,5,5,5,0.0,0.16,0.1,"4, 5",8.55 ,0.02,8.55 ,0.01,8.39 ,0.01,8.29 ,0.01,8.5
LP 944-020,03 39 35.2,-35 25 44,M9.0,9,7.0,1,2MA,0.20140 ,0.00420,10.73 ,0.02,10.02 ,0.02,9.55 ,0.02,5,5,5,5,0.08,0.19,0.18,"4, 5, 6",8.87 ,0.03,8.79 ,0.01,8.59 ,0.01,8.42 ,0.01,9.0
LHS 2065,08 53 36.1,-03 29 30,M9.0,4,1.0,1,2MA,0.11730 ,0.00150,11.21 ,0.03,10.47 ,0.03,9.94 ,0.02,5,5,5,5,0.02,0.17,0.09,"4, 5",9.41 ,0.02,9.39 ,0.03,9.22 ,0.01,9.13 ,0.01,9.0
LHS 2924,14 28 42.0,+33 10 36,M9.0,6,8.0,1,2MA,0.09080 ,0.00130,11.99 ,0.02,11.23 ,0.03,10.74 ,0.02,5,5,5,5,0.0,0.19,0.16,4,10.16 ,0.02,10.16 ,0.01,9.97 ,0.01,9.81 ,0.01,9.0
DEN 0021-4244,00 21 05.8,-42 44 49,M9.5,10,,1,2MA,,,13.52 ,0.03,12.81 ,0.03,12.30 ,0.03,5,5,5,5,0.03,0.16,0.14,,11.62 ,0.01,11.59 ,0.01,11.43 ,0.04,11.30 ,0.04,9.5
BRI 0021-0214,00 24 24.6,-01 58 20,M9.5,1,8.0,1,2MA,0.08660 ,0.00400,11.99 ,0.04,11.08 ,0.02,10.54 ,0.02,4,4,5,4,0.02,0.2,0.17,"4, 5",9.94 ,0.03,9.91 ,0.03,9.72 ,0.01,9.55 ,0.01,9.5
2MA 1204+3212,12 04 30.4,+32 13 00,L0.0,11,,1,2MA,,,13.82 ,0.04,13.09 ,0.04,12.52 ,0.03,5,5,5,5,-0.01,0.13,0.17,,11.93 ,0.01,11.95 ,0.01,11.82 ,0.01,11.65 ,0.03,10.0
2MA 0320-0446,03 20 28.4,-04 46 36,L0.5(IR),12,,1,2MA,,,13.26 ,0.02,12.54 ,0.02,12.13 ,0.03,5,5,5,4,0.06,0.15,0.11,,11.50 ,0.03,11.44 ,0.01,11.29 ,0.02,11.18 ,0.01,10.5
2MA 0451-3402,04 51 00.9,-34 02 15,L0.5,10,,1,2MA,,,13.54 ,0.02,12.83 ,0.02,12.29 ,0.03,5,5,5,5,-0.01,0.14,0.22,7,11.66 ,0.04,11.66 ,0.03,11.52 ,0.02,11.30 ,0.04,10.5
2MA 0746+2000AB,07 46 42.5,+20 00 32,L0.5,13,8.0,1,2MA,0.08190 ,0.00030,11.76 ,0.02,11.01 ,0.02,10.47 ,0.02,5,4,4,5,-0.03,0.18,0.15,"4, 5",9.86 ,0.02,9.90 ,0.04,9.72 ,0.01,9.57 ,0.01,10.5
2MA 1300+1912,13 00 42.6,+19 12 35,L1.0,14,,1,2MA,,,12.72 ,0.02,12.08 ,0.02,11.62 ,0.02,5,5,5,5,-0.04,0.14,0.14,,10.96 ,0.02,11.00 ,0.03,10.86 ,0.01,10.73 ,0.03,11.0
2MA 1439+1929,14 39 28.4,+19 29 15,L1.0,15,8.0,1,2MA,0.06960 ,0.00050,12.76 ,0.02,12.04 ,0.02,11.55 ,0.02,5,5,5,5,-0.02,0.11,0.15,"4, 5",10.91 ,0.02,10.93 ,0.03,10.82 ,0.03,10.67 ,0.02,11.0
2MA 1555-0956,15 55 15.7,-09 56 06,L1.0,16,,1,2MA,,,12.56 ,0.02,11.98 ,0.02,11.44 ,0.03,5,5,5,5,-0.05,0.12,0.12,,10.83 ,0.01,10.88 ,0.01,10.76 ,0.02,10.63 ,0.01,11.0
