Table 7
Strong Metal Lines in the Arcturus Spectrum

Vacuum Wavelength (mum)	Element	Vacuum Wavelength (mum)	Element	Vacuum Wavelength (mum)	Element	Vacuum Wavelength (mum)	Element	
0.8027028	Ti I	0.8030128	Fe I	0.8030499	Fe I	0.8048243	Fe I	
0.8049814	Fe I	0.8056425	Mg I	0.8070439	Ti I	0.8072310	Zr I	
0.8074360	Fe I	0.8077351	Fe I	0.8082752	Fe I	0.8087374	Fe I	
0.8094836	Cu I	0.8095446	Si I	0.8095706	V I	0.8096137	Co I	
0.8099087	Fe I	0.8100928	Mg I	0.8110530	Fe I	0.8114371	Fe I	
0.8118973	V I	0.8135217	Zr I	0.8146790	V I	0.8163294	V I	
0.8185480	Na I	0.8189032	Fe I	0.8197064	Na I	0.8201155	Fe I	
0.8206336	Fe I	0.8207177	Fe I	0.8209977	Fe I	0.8215279	Mg I	
0.8217390	Si I	0.8222621	Fe I	0.8234564	Fe I	0.8236885	Mg II	
0.8241376	Fe I	0.8243787	V I	0.8250378	Fe I	0.8258151	V I	
0.8278146	Fe I	0.8295770	Fe I	0.8307854	Mg I	0.8309685	Ti I	
0.8312525	Mg I	0.8329329	Fe I	0.8334191	Fe I	0.8336662	Ti I	
0.8341673	Fe I	0.8348395	Mg I	0.8350545	Cr I	0.8360798	Fe I	
0.8363079	Fe I	0.8366520	Ti I	0.8367910	Fe I	0.8380144	Ti I	
0.8384535	Fe I	0.8384815	Ti I	0.8385065	Ti I	0.8390056	Fe I	
0.8391777	Ti I	0.8399179	Ti I	0.8403690	Fe I	0.8414653	Ti I	
0.8419245	Ti I	0.8425206	Fe I	0.8426436	Fe I	0.8426707	Ti I	
0.8428797	Ti I	0.8437259	Ti I	0.8437950	Ti I	0.8441220	Ti I	
0.8441871	Fe I	0.8448662	O I	0.8449943	Fe I	0.8453193	Ti I	
0.8459405	Ti I	0.8469459	Ti I	0.8470719	Fe I	0.8474049	Fe I	
0.8484293	Fe I	0.8498326	Ti I	0.8499307	Fe I	0.8500336	Ca II	
0.8504538	Si I	0.8516391	Fe I	0.8517432	Fe I	0.8520352	Ti I	
0.8520672	Ti I	0.8528994	Fe I	0.8540337	Fe I	0.8541677	Ti I	
0.8544418	Ca II	0.8550420	Ti I	0.8559113	Si I	0.8584600	Fe I	
0.8595293	Fe I	0.8601174	Fe I	0.8612958	Fe I	0.8614148	Fe I	
0.8618629	Fe I	0.8623950	Fe I	0.8650827	Si I	0.8664501	Ca II	
0.8666082	Fe I	0.8677115	Fe I	0.8677735	Ti I	0.8685348	Ti I	
0.8690998	Fe I	0.8694700	Ti I	0.8701081	Fe I	0.8701822	Fe I	
0.8712764	Fe I	0.8715065	Mg I	0.8715575	Fe I	0.8720207	Mg I	
0.8730389	Si I	0.8731530	Fe I	0.8737091	Ti I	0.8738401	Mg I	
0.8744834	Si I	0.8749805	Fe I	0.8754395	Si I	0.8759578	Fe I	
0.8766359	Fe I	0.8769070	Ti I	0.8773071	Ni I	0.8775262	Al I	
0.8776281	Al I	0.8792786	Si I	0.8792915	Fe I	0.8795737	Fe I	
0.8807030	Fe I	0.8809161	Mg I	0.8810571	Fe I	0.8811812	Ni I	
0.8826625	Fe I	0.8840839	Fe I	0.8849152	Fe I	0.8864966	Ni I	
0.8869347	Fe I	0.8870847	Fe I	0.8878439	Fe I	0.8880660	Fe I	
0.8895155	Si I	0.8922441	Fe I	0.8926003	Mg I	0.8931514	Fe I	
0.8934225	Fe I	0.8945497	Fe I	0.8947629	Fe I	0.8948699	Fe I	
0.8949629	Cr I	0.8977847	Fe I	0.8979327	Cr I	0.8981617	Ti II	
0.8991901	Ti I	0.9012296	Cr I	0.9013046	Fe I	0.9014527	Fe I	
0.9016438	Fe I	0.9019508	Cr I	0.9024039	Si I	0.9026830	Fe I	
0.9029781	Ti I	0.9033171	Fe I	0.9038323	Cr I	0.9082865	Fe I	
0.9090797	Fe I	0.9093169	Ti I	0.9119615	Fe I	0.9148623	Fe I	
0.9159576	Fe I	0.9175701	Fe I	0.9181061	Fe I	0.9210801	Cr I	
0.9212541	Fe I	0.9215371	S I	0.9217012	Fe I	0.9220072	Fe I	
0.9220762	Mg II	0.9230605	S I	0.9249080	Fe I	0.9255053	Ti II	
0.9258303	Mg I	0.9260793	Fe I	0.9266506	Cr I	0.9293002	Cr I	
0.9148637	Fe I	0.9159606	Fe I	0.9167070	Fe I	0.9175726	Fe I	
0.9181134	Fe I	0.9210817	Cr I	0.9212556	Fe I	0.9215392	S I	
0.9217023	Fe I	0.9220099	Fe I	0.9230627	S I	0.9249094	Fe I	
0.9258317	Mg I	0.9260811	Fe I	0.9261549	Fe I	0.9266518	Cr I	
0.9293024	Cr I	0.9312817	Si I	0.9352979	Fe I	0.9361989	Fe I	
