ID	R	I	J	H	KS	EW_TiO_7140	EW_TiO_8465	EW_NaI_8189	Spectral Type	EW_Ha	Gravity
SCH 15563309-18074323	19.7	16.5	14.18	13.61	13.13	3.22	1.8	0.81	M7		Dwarf
SCH 15582384-15310335	16.1	13.9	12.36	11.79	11.52	1.76	1.16	0.83	M4.5	-5.4	Dwarf
SCH 15583162-24025411	17.5	15.0	13.16	12.51	12.2	1.95	1.25	0.93	M4.5	-7.6	USco
SCH 15594802-22271650	19.1	16.5	14.24	13.56	13.16	2.78	1.9	0.93	M7.5	-15.2	USco
SCH 16014768-24410152	18.5	15.9	13.87	13.27	13.0	2.44	1.45	0.86	M5	-16.0	USco
SCH 16031129-13454481	17.2	15.5	13.96	13.35	12.95	2.07	1.33	0.8	M5	-8.7	Dwarf
SCH 16032871-21583609	18.9	16.7	14.62	13.96	13.59	0.99	1.08	0.93	K3:		Dwarf
SCH 16040453-23463795	15.3	13.3	11.74	11.04	10.73	1.81	1.2	0.93	M4	-4.0	Int
SCH 16044303-23182620	19.0	15.9	13.81	13.19	12.85	2.72	1.79	0.9	M6.5	-18.0	USco
SCH 16051829-17562092	15.2	13.1	11.64	10.98	10.68	1.66	1.11	0.93	M4	-5.4	Int
SCH 16053077-22462016	18.8	16.1	13.78	13.18	12.78	2.84	1.65	0.89	M6	-17.8	USco
SCH 16070403-14352587	15.9	14.2	12.28	11.73	11.41	1.89	1.17	0.84	M4		Dwarf
SCH 16075850-20394890	18.4	15.8	13.59	12.95	12.58	2.47	1.53	0.89	M6	-14.9	USco
SCH 16091254-21582262	18.7	16.3	14.39	13.77	13.49	2.2	1.33	0.82	M5		Dwarf
SCH 16092940-23431209	19.0	16.5	14.2	13.57	13.21	0.96	0.96	1.0	<K3:		Dwarf
SCH 16093018-20595409	18.8	16.2	13.99	13.35	12.98	2.59	1.53	0.89	M6	-11.1	USco
SCH 16095991-21554293	19.3	16.4	14.3	13.64	13.3	2.49	1.57	0.89	M6.5	-17.4	USco
SCH 16103876-18292353	19.2	16.5	13.96	13.16	12.64	2.29	1.57	0.96	M6	-80.3	USco
SCH 16111711-22171749	19.7	16.8	14.34	13.73	13.25	2.68	1.82	0.94	M7.5	-20.8	USco
SCH 16112959-19002921	19.0	16.2	13.67	12.9	12.44	2.49	1.68	0.94	M6	-20.4	USco
SCH 16121188-20472698	18.7	15.9	13.66	13.02	12.6	2.69	1.77	0.93	M6.5	-8.1	USco
SCH 16123758-23492340	18.5	16.0	13.93	13.28	12.91	2.47	1.51	0.87	M6	-15.8	USco
SCH 16124692-23384086	18.7	15.9	13.65	13.02	12.62	2.66	1.7	0.9	M6	-14.7	USco
SCH 16131212-23050329	19.1	16.4	14.05	13.44	13.0	2.62	1.73	0.9	M6.5	-13.4	USco
SCH 16132576-17373542	16.0	13.9	12.32	11.69	11.4	1.72	1.14	0.91	M4	-5.3	Int
SCH 16141974-24284053	18.7	16.0	13.81	13.15	12.76	2.59	1.61	0.88	M6	-16.4	USco
SCH 16151115-24201556	19.0	16.3	14.23	13.58	13.17	2.33	1.43	0.9	M6	-10.9	USco
SCH 16155508-24443677	18.6	15.7	13.39	12.74	12.28	2.48	1.66	0.93	M6	-15.8	USco
SCH 16172504-23503799	18.8	16.1	13.74	13.01	12.63	2.25	1.44	0.87	M5	-12.0	USco
SCH 16174540-23533618	19.2	16.3	14.05	13.31	12.95	2.83	1.67	0.91	M6	-15.5	USco
SCH 16182501-23381068	18.9	16.1	13.72	12.88	12.44	2.06	1.32	0.91	M5	-9.2	USco
SCH 16183144-24195229	19.5	16.6	14.15	13.46	12.97	2.45	1.6	0.87	M6.5	-11.4	Int
SCH 16192530-23470717	18.5	16.1	14.01	13.17	12.75	1.6	1.12	0.87	M4		Dwarf
SCH 16200756-23591522	18.5	15.6	13.21	12.48	12.05	2.49	1.58	0.92	M6	-24.2	USco
SCH 16202127-21202923	18.5	15.5	13.39	12.74	12.4	2.61	1.62	0.89	M6	-23.9	USco
SCH 16202523-23160347	18.9	16.6	14.37	13.68	13.23	2.2	1.53	0.88	M5.5	-9.5	USco
SCH 16202753-14082840	16.0	13.8	12.22	11.56	11.27	1.85	1.2	0.84	M4.5		Dwarf
SCH 16213591-23550341	19.5	16.5	13.94	13.19	12.73	2.38	1.69	0.9	M6	-19.9	USco
SCH 16214806-24542504	19.7	17.4	15.19	14.22	13.61	1.23	0.98	0.93	M2		Dwarf
SCH 16221577-23134936	18.3	15.8	13.71	13.14	12.8	2.52	1.55	0.87	M6	-9.2	Int
SCH 16222156-22173094	18.0	15.5	13.74	13.09	12.61	2.0	1.36	0.92	M5	-60.3	USco
SCH 16223315-14422746	17.6	15.3	13.49	12.84	12.51	2.11	1.3	0.79	M5		Dwarf
SCH 16224384-19510575	17.0	15.0	12.35	11.61	11.15	2.42	2.13	0.98	M8	-62.1	USco
SCH 16235158-23172740	19.3	16.1	13.55	12.89	12.41	2.82	2.16	0.96	M8	-76.8	USco
SCH 16235474-24383211	19.1	16.0	13.31	12.49	11.92	2.34	1.61	0.95	M6	-12.8	USco
SCH 16242880-20385513	18.9	16.7	14.58	13.77	13.31	1.5	1.08	0.92	M3		Dwarf
SCH 16252609-15401969	17.4	15.3	13.67	12.94	12.52	1.52	1.07	0.93	M3		Dwarf
SCH 16252862-16585055	19.2	16.2	13.67	13.01	12.62	2.66	1.94	0.94	M8	-23.3	USco
SCH 16252968-22145448	18.0	15.4	13.19	12.49	12.11	2.25	1.41	0.94	M5	-16.2	USco
SCH 16253671-22242887	18.7	15.9	13.53	12.83	12.45	2.64	1.76	0.93	M7	-11.6	USco
SCH 16254319-22300300	16.8	15.0	13.02	12.4	12.09	2.19	1.37	0.9	M5	-9.2	USco
SCH 16263026-23365552	18.9	16.5	13.75	12.82	12.21	2.51	1.69	0.94	M6	-32.1	USco
SCH 16265619-22135224	18.5	15.7	13.48	12.83	12.41	2.71	1.67	0.9	M6	-28.4	USco
SCH 16270959-16204810	17.4	15.4	13.55	12.72	12.28	1.19	1.01	0.95	M2		Dwarf
SCH 16274801-24571371	19.2	16.2	13.54	12.65	12.11	2.2	1.42	0.91	M5	-22.0	USco
SCH 16290665-22464968	18.6	16.2	14.03	13.19	12.77	1.65	1.1	0.86	M4	-9.5	Dwarf
SCH 16291911-16410107	16.8	14.6	12.85	12.12	11.76	1.62	1.11	0.85	M3.5	-3.7	Dwarf
SCH 16294877-21370914	16.9	14.5	12.52	11.86	11.52	2.16	1.34	0.92	M5	-9.2	USco
SCH 16300911-24111718	16.1	14.7	13.38	12.84	12.56	1.48	1.05	0.87	M2		Dwarf
SCH 16301483-22435159	18.8	16.7	14.57	13.71	13.2	1.48	1.02	0.89	M3		Dwarf
SCH 16301682-15574807	18.0	15.6	13.59	12.86	12.53	1.95	1.14	0.81	M5	-4.3	Dwarf
SCH 16303166-16093250	17.5	15.2	13.38	12.69	12.37	1.8	1.2	0.83	M4	-5.4	Dwarf
SCH 16324726-20593771	17.9	15.5	13.45	12.85	12.47	2.39	1.5	0.91	M6	-25.2	USco
SCH 16325276-24110013	17.1	15.9	14.33	13.69	13.4	0.96	0.94	0.98	<K3		Dwarf
SCH 16325602-16582835	15.9	13.7	12.26	11.76	11.44	1.94	1.19	0.84	M4		Dwarf
