HII,Tycho,2MASS,RAdeg,DEdeg,Vmag,B-V,e_B-V,V-Ks,e_V-Ks,PRot,Binary?
25.0,1803-478-1,03425511+2429350,55.729626,24.493065,9.47,0.48,0.02,1.207,0.029,1.41,N
34.0,1803-400-1,03430293+2440110,55.76223,24.669737,12.03,0.94,0.02,2.303,0.028,6.69,N
97.0,,03432662+2459395,55.860922,24.994333,12.5,1.08,0.02,2.705,0.03,6.74947635,Y
120.0,1799-118-1,03433195+2340266,55.883139,23.674074,10.79,0.7,0.02,1.687,0.029,3.99,N
129.0,1799-1268-1,03433440+2345429,55.893373,23.761917,11.47,0.88,0.02,2.1,0.029,5.44,Y
152.0,1799-780-1,03433772+2332096,55.907204,23.536011,10.75,0.7,0.02,1.626,0.029,3.887814,N
164.0,1799-1037-1,03434286+2335412,55.928608,23.594801,9.54,0.48,0.02,1.307,0.033,,Y
174.0,1803-8-1,03434833+2500157,55.951377,25.004387,11.62,0.85,0.02,2.246,0.028,0.47429706,N
193.0,1799-816-1,03435070+2414508,55.961274,24.247465,11.29,0.81,0.02,1.946,0.028,5.36,N
250.0,1803-818-1,03440424+2459233,56.017681,24.989822,10.68,0.68,0.02,1.619,0.029,4.23218914,Y
253.0,1803-282-1,03440353+2430151,56.014746,24.504206,10.66,0.68,0.02,1.707,0.029,1.48,N
263.0,,03440484+2416318,56.020167,24.275501,11.54,0.88,0.02,2.154,0.029,4.68,Y
293.0,1803-812-1,03441391+2446457,56.05798,24.779388,10.8,0.7,0.02,1.738,0.03,4.03,Y
345.0,,03442627+2435229,56.109485,24.589705,11.57,0.84,0.02,2.304,0.028,0.84,N
380.0,,03443741+2508160,56.155898,25.137793,13.33,1.21,0.02,3.091,0.031,9.03288129,N
405.0,1803-542-1,03444075+2449067,56.1698,24.818542,9.83,0.54,0.02,1.317,0.031,1.91,N
430.0,,03444398+2413523,56.183251,24.231215,11.4,0.85,0.02,1.931,0.03,5.51856881,N
470.0,1799-1157-1,03445123+2316082,56.213483,23.268969,8.95,0.39,0.02,0.966,0.039,,Y
489.0,,03445639+2425574,56.234988,24.432623,10.39,0.63,0.02,1.524,0.028,2.78,N
514.0,1803-1061-1,03450400+2515282,56.266691,25.257841,10.69,0.69,0.02,1.649,0.028,3.79041574,N
530.0,1799-170-1,03450528+2342097,56.272009,23.702707,8.95,0.39,0.02,0.95,0.03,,Y
627.0,1803-388-1,03452412+2453095,56.350531,24.885977,9.68,0.5,0.02,1.261,0.031,1.81,N
636.0,,03452219+2328182,56.342478,23.471731,12.48,1.06,0.02,2.632,0.027,8.48,N
708.0,,03453539+2404595,56.397484,24.08321,10.13,0.62,0.02,1.568,0.029,1.02,Y
746.0,,03454184+2425534,56.424374,24.431513,11.27,0.92,0.02,1.872,0.03,5.23230299,Y
879.0,,03460649+2434027,56.527062,24.567419,12.79,1.07,0.02,2.677,0.028,6.75,N
882.0,,03460412+2324199,56.517177,23.405537,12.66,1.07,0.02,2.824,0.027,0.58,N
883.0,,03460689+2433461,56.528742,24.562807,13.05,1.08,0.02,2.8,0.031,7.91,N
916.0,,03461174+2437203,56.548937,24.622314,11.71,0.87,0.02,2.165,0.028,5.98,Y
923.0,1800-1917-1,03461005+2320240,56.541875,23.340015,10.12,0.62,0.02,1.461,0.026,1.42,Y
996.0,,03462267+2434126,56.59448,24.570177,10.42,0.64,0.02,1.497,0.026,3.23,N
1015.0,1804-2366-1,03462735+2508080,56.613966,25.135563,10.54,0.65,0.02,1.547,0.026,3.42,N
1032.0,,03462841+2426021,56.618376,24.433918,11.34,0.86,0.02,2.181,0.026,1.31,N
1095.0,,03463777+2444517,56.65739,24.747698,11.92,0.88,0.02,2.251,0.028,7.18,N
1110.0,,03463889+2431132,56.662043,24.520344,13.29,1.19,0.02,3.004,0.027,7.48,N
1122.0,,03463932+2406116,56.663857,24.103243,9.29,0.46,0.02,1.099,0.025,0.87,Y
1124.0,,03463938+2401468,56.664103,24.029688,12.12,0.92,0.02,2.261,0.029,6.13,N
1132.0,1800-1574-1,03463839+2255112,56.659985,22.919804,9.42,0.49,0.02,1.267,0.031,6.84,N
1139.0,1800-1672-1,03463999+2306373,56.666655,23.110371,9.38,0.48,0.02,1.137,0.032,1.82,Y
1182.0,1800-1774-1,03464706+2254525,56.696086,22.914593,10.46,0.64,0.02,1.532,0.028,3.0,Y
1200.0,1800-1627-1,03465053+2314211,56.710572,23.239195,9.9,0.54,0.02,1.354,0.029,,N
1207.0,1804-2205-1,03465491+2447468,56.728828,24.796349,10.47,0.62,0.02,1.493,0.028,3.37,Y
1215.0,1800-1616-1,03465373+2335009,56.72391,23.583599,10.52,0.65,0.02,1.524,0.029,3.59,N
1220.0,,03465326+2252513,56.72192,22.880943,11.74,0.88,0.02,2.021,0.028,6.15,N
1298.0,,03470678+2342546,56.778252,23.71517,12.18,1.02,0.02,2.341,0.028,8.48,Y
1305.0,,03470734+2313349,56.780599,23.226362,13.46,1.18,0.02,3.096,0.028,0.39,N
1309.0,1800-1935-1,03471005+2416360,56.791894,24.276672,9.46,0.47,0.02,1.178,0.032,0.78,N
1332.0,,03471352+2342515,56.806374,23.71431,12.41,1.04,0.02,2.401,0.028,7.85,Y
1454.0,,03473367+2441032,56.890319,24.684223,12.78,1.16,0.02,2.652,0.029,8.6,N
1514.0,,03474044+2421525,56.918539,24.364594,10.48,0.64,0.02,1.527,0.028,3.25,N
1531.0,,03474143+2358190,56.922657,23.971945,13.3,1.15,0.02,2.988,0.029,0.48,N
1593.0,1800-2170-1,03474811+2313053,56.950462,23.21814,11.12,0.75,0.02,1.796,0.027,5.14,N
1613.0,,03475252+2356286,56.968837,23.941282,9.88,0.54,0.02,1.306,0.028,1.4,N
1776.0,,03481769+2502523,57.073718,25.047886,10.91,0.72,0.02,1.752,0.028,4.53,N
1794.0,,03481712+2353253,57.071342,23.890385,10.36,0.64,0.02,1.469,0.029,3.82,N
1797.0,,03481691+2338125,57.070459,23.636806,10.11,0.56,0.02,1.374,0.029,2.45,N
1856.0,,03482616+2402544,57.109023,24.048445,10.02,0.56,0.02,1.357,0.027,2.49,N
1883.0,,03482802+2318027,57.116787,23.300774,12.6,1.06,0.02,2.764,0.027,0.24,N
1924.0,,03483451+2326053,57.143806,23.434818,10.33,0.62,0.02,1.462,0.029,2.88,N
2016.0,,03484542+2320201,57.189275,23.338938,13.52,1.22,0.02,3.185,0.027,3.92,N
2034.0,,03484932+2358383,57.20551,23.97732,12.57,0.99,0.02,2.578,0.028,0.55,Y
2106.0,,03485848+2312044,57.243692,23.201229,11.53,0.86,0.02,2.153,0.027,6.01,Y
2126.0,,03490232+2315088,57.259705,23.252468,11.64,0.86,0.02,1.983,0.028,3.08,N
2244.0,,03492059+2446360,57.335794,24.77667,12.67,1.04,0.02,2.745,0.03,0.56,N
2284.0,,03492405+2350214,57.350217,23.839287,11.35,0.78,0.02,1.972,0.028,5.59,Y
2311.0,,03492873+2342440,57.369749,23.712238,11.36,0.83,0.02,1.932,0.03,5.71,N
2341.0,,03493312+2347435,57.388005,23.795427,10.87,0.71,0.02,1.656,0.029,4.94,Y
2345.0,1800-727-1,03493272+2322494,57.386341,23.380413,9.1,0.44,0.02,1.064,0.031,0.24,N
2366.0,,03493653+2417460,57.402244,24.296135,11.53,0.82,0.02,1.98,0.028,6.21783952,N
2462.0,,03495035+2342202,57.459828,23.705631,11.55,0.83,0.02,1.955,0.028,6.85,N
2506.0,1800-471-1,03495648+2313071,57.485363,23.218641,10.23,0.6,0.02,1.434,0.028,2.18,N
2644.0,,03502089+2428003,57.58708,24.466755,11.03,0.73,0.02,1.723,0.027,5.07153391,N
2665.0,1800-669-1,03502130+2305470,57.588751,23.096392,11.36,0.83,0.02,1.975,0.029,5.37,N
2741.0,,03503457+2430281,57.644052,24.507822,12.6,1.0,0.02,2.52,0.027,5.15798051,N
2786.0,,03504007+2355590,57.666983,23.933065,10.31,0.6,0.02,1.457,0.028,2.16,N
2870.0,1800-586-1,03505143+2319447,57.714333,23.3291,12.45,1.07,0.02,2.435,0.029,8.45,N
2880.0,,03505508+2411508,57.729525,24.197466,11.75,0.86,0.02,2.121,0.027,6.28238456,N
3019.0,,03512440+2405147,57.851675,24.087425,13.45,1.19,0.02,3.176,0.03,5.46870223,N
3031.0,1804-67-1,03512722+2431072,57.86342,24.518692,8.83,0.38,0.02,0.953,0.028,,N
3063.0,,03512993+2353572,57.87473,23.899225,13.52,1.17,0.02,3.224,0.03,0.88393824,N
3163.0,,03515338+2423132,57.972446,24.387018,12.69,0.98,0.02,2.807,0.03,0.41747738,N
3179.0,1800-1415-1,03515685+2354070,57.986888,23.901966,10.04,0.56,0.02,1.408,0.027,4.85456989,Y
3187.0,,03515733+2320219,57.988895,23.339439,13.12,1.16,0.02,2.922,0.029,7.3,N
