HII,Teff,E_Teff,e_Teff,FBol,e_FBol,E_FBol,chi2,ADia,e_ADia,E_ADia,Rad,e_Rad,E_Rad,DelRad,E_DelRad,e_DelRad
25,6513,55,68,47.38,1.71,0.59,2.18,8.89,0.23,0.18,1.28,0.044,0.038,6.4,3.7,3.2
34,5011,27,34,5.77,0.15,0.21,2.45,5.24,0.09,0.12,0.754,0.022,0.024,4.4,3.0,3.3
97,4658,23,28,4.36,0.28,0.26,7.05,5.27,0.18,0.17,0.759,0.031,0.03,15.4,4.7,4.5
120,5729,40,49,14.71,0.28,0.29,2.26,6.4,0.12,0.12,0.922,0.027,0.027,3.5,3.0,3.0
129,5220,31,38,9.06,0.27,0.28,1.99,6.05,0.12,0.12,0.871,0.026,0.026,14.4,3.4,3.5
152,5816,41,51,15.55,0.15,0.15,0.6,6.39,0.11,0.11,0.92,0.026,0.026,0.3,2.8,2.8
164,6328,57,69,43.69,1.1,1.14,0.87,9.04,0.21,0.22,1.302,0.042,0.043,16.2,3.8,3.8
174,5068,27,34,8.23,0.33,0.35,3.14,6.12,0.14,0.15,0.881,0.029,0.029,20.3,3.9,4.0
193,5396,32,41,10.12,0.29,0.4,2.73,5.99,0.12,0.14,0.862,0.026,0.028,7.9,3.2,3.5
250,5826,41,51,16.01,0.31,0.32,1.17,6.46,0.12,0.12,0.93,0.027,0.027,1.0,2.9,3.0
253,5702,39,48,16.17,0.49,0.7,4.3,6.78,0.15,0.18,0.976,0.03,0.034,10.7,3.5,3.8
263,5163,30,37,8.78,0.26,0.37,1.57,6.09,0.12,0.15,0.877,0.026,0.029,16.9,3.5,3.9
293,5659,40,49,14.75,0.58,0.3,1.86,6.57,0.17,0.12,0.946,0.032,0.028,8.9,3.7,3.2
345,5010,27,34,8.94,0.48,0.41,3.51,6.53,0.19,0.17,0.94,0.035,0.032,30.1,4.8,4.5
380,4380,20,24,2.45,0.12,0.15,5.61,4.47,0.12,0.15,0.643,0.023,0.026,1.7,3.6,4.1
405,6310,54,66,34.17,0.0,0.39,0.85,8.04,0.15,0.16,1.158,0.034,0.035,4.1,3.1,3.1
430,5414,36,44,8.89,0.31,0.24,2.43,5.57,0.13,0.11,0.803,0.026,0.024,-0.0,3.2,3.0
470,7018,87,101,74.86,1.86,0.96,1.95,9.62,0.28,0.27,1.386,0.051,0.049,2.9,3.8,3.7
489,5968,43,54,20.85,0.43,0.22,1.69,7.02,0.14,0.12,1.011,0.03,0.029,4.3,3.1,2.9
514,5783,39,49,15.81,0.31,0.32,1.75,6.51,0.12,0.12,0.938,0.027,0.027,3.4,3.0,3.0
530,7055,68,84,75.16,0.93,0.95,1.51,9.54,0.21,0.21,1.374,0.044,0.044,2.4,3.2,3.3
627,6412,57,69,39.54,0.91,0.47,0.95,8.38,0.19,0.17,1.206,0.039,0.037,4.3,3.3,3.2
636,4717,21,27,4.19,0.18,0.24,5.67,5.04,0.12,0.15,0.725,0.024,0.027,8.8,3.6,4.1
708,5901,43,53,26.88,0.96,0.67,1.65,8.15,0.2,0.17,1.174,0.039,0.036,24.2,4.1,3.8
746,5486,37,45,9.91,0.26,0.28,2.38,5.73,0.12,0.12,0.825,0.025,0.025,0.7,3.0,3.1
879,4680,22,28,3.18,0.2,0.22,7.47,4.46,0.15,0.16,0.642,0.025,0.027,-2.9,3.9,4.1
882,4567,20,25,4.08,0.16,0.17,2.22,5.3,0.11,0.12,0.764,0.024,0.024,17.7,3.7,3.7
883,4585,23,28,2.55,0.19,0.21,15.8,4.16,0.16,0.18,0.599,0.026,0.029,-8.0,4.1,4.4
916,5151,29,36,7.56,0.07,0.07,0.31,5.68,0.08,0.08,0.817,0.021,0.021,9.3,2.9,2.9
923,6067,41,53,26.01,0.57,0.59,2.7,7.59,0.15,0.15,1.093,0.032,0.032,8.5,3.2,3.2
996,6010,39,51,19.96,0.39,0.2,1.45,6.78,0.12,0.11,0.976,0.028,0.027,-0.9,2.9,2.7
1015,5933,38,49,18.42,0.18,0.18,0.68,6.68,0.1,0.11,0.962,0.026,0.026,0.6,2.8,2.8
1032,5134,26,34,10.92,0.12,0.26,0.51,6.87,0.09,0.11,0.989,0.026,0.028,32.8,3.4,3.7
1095,5063,28,35,6.36,0.17,0.12,1.18,5.39,0.1,0.08,0.776,0.022,0.021,6.0,3.1,2.9
1110,4438,18,23,2.47,0.12,0.13,4.41,4.37,0.11,0.12,0.629,0.022,0.022,-1.4,3.4,3.5
1122,6728,51,67,55.22,0.0,0.68,0.97,8.99,0.16,0.17,1.295,0.037,0.038,0.0,2.8,2.9
1124,5053,28,35,5.14,0.21,0.22,2.97,4.87,0.12,0.12,0.701,0.023,0.023,-4.0,3.1,3.2
1132,6401,56,69,52.38,4.65,3.75,36.26,9.68,0.47,0.4,1.394,0.075,0.065,20.9,6.5,5.6
